recruit_id,height_in,SC,SH,ID,OD,PS,BH,RB,ST,AG,ND,IQ,FT,CH,recruit_rt_PG,recruit_rt_SG,recruit_rt_SF,recruit_rt_PF,recruit_rt_C,player_rt_PG,player_rt_SG,player_rt_SF,player_rt_PF,player_rt_C,delta_PG,delta_SG,delta_SF,delta_PF,delta_C,recruit_argmax_position,recruit_top1_rt,player_argmax_position,player_top1_rt
0057e470-7393-452c-88b9-7f2a8337d0df,71,4,40,28,27,25,23,19,72,68,41,29,16,67,30,33,47,34,23,30,33,47,32,18,0,0,0,-2,-5,SF,47,SF,47
0541fd5b-11c9-41ff-afa1-aadd03e943d1,71,5,5,21,39,30,8,17,70,33,59,35,31,34,25,20,36,33,21,25,20,36,30,17,0,0,0,-3,-4,SF,36,SF,36
0667a60e-cb5a-4c72-9b88-baaed7d4cc9b,74,12,23,38,36,14,17,57,30,18,19,33,22,12,23,25,26,38,28,23,25,26,37,21,0,0,0,-1,-7,PF,38,PF,37
06e56c4d-c323-4107-9fb7-884eecd13520,77,30,52,57,32,38,57,22,39,35,15,35,33,37,42,41,39,39,40,42,41,39,40,42,0,0,0,1,2,PG,42,PG,42
06fcc0e9-5ae0-497a-adfd-d8634e57fafc,72,3,39,2,18,40,31,29,18,15,21,31,29,8,30,27,17,20,9,30,27,17,21,8,0,0,0,1,-1,PG,30,PG,30
08bab1e4-69d2-4f1b-84ec-73c0fde0e6bf,67,28,24,15,29,36,26,22,12,37,4,4,24,60,23,27,23,17,20,23,27,23,16,12,0,0,0,-1,-8,SG,27,SG,27
08e197fd-03c3-4d07-bc0d-1becba8b2ebb,72,12,39,18,12,2,36,23,45,5,15,29,21,43,23,23,23,29,19,23,23,23,28,15,0,0,0,-1,-4,PF,29,PF,28
090ceed2-04d7-442b-8d05-6a5a62082b6f,75,6,3,36,30,37,23,19,22,24,79,43,1,15,29,16,21,23,19,29,16,21,22,12,0,0,0,-1,-7,PG,29,PG,29
095544c3-6aa5-4e75-84a5-29a8b3d875f4,68,28,25,35,19,36,17,31,7,21,14,21,3,2,21,23,19,21,28,21,23,19,20,15,0,0,0,-1,-13,C,28,SG,23
0996e47f-8bd6-4f11-8619-55bbacca4946,66,37,20,7,29,6,1,4,36,18,20,38,40,59,18,25,27,21,21,18,25,27,18,13,0,0,0,-3,-8,SF,27,SF,27
0a5df38d-10ea-42e0-bf4a-0ff40aca8b78,66,21,29,15,30,26,3,27,31,38,33,5,3,72,14,27,27,24,21,14,27,27,21,14,0,0,0,-3,-7,SG,27,SG,27
0ae40dde-49f1-4b24-b851-8999071a0be6,74,40,42,34,28,16,34,6,41,3,2,29,2,96,25,30,27,25,29,25,30,27,25,18,0,0,0,0,-11,SG,30,SG,30
0c05b040-1454-4f64-801b-a02f84e7a835,70,28,29,36,23,29,7,10,21,63,5,12,31,5,21,30,35,20,27,21,30,35,19,14,0,0,0,-1,-13,SF,35,SF,35
0c1ef24d-32ef-4222-8c35-96e28fa97236,69,40,21,28,41,41,66,25,10,25,28,34,38,79,44,31,25,22,29,44,31,25,21,15,0,0,0,-1,-14,PG,44,PG,44
0e4b4420-4268-4590-8971-cc1ded3c843f,70,49,36,37,33,14,30,25,2,25,5,20,40,27,26,34,25,20,34,26,34,25,21,17,0,0,0,1,-17,SG,34,SG,34
0f4c2b4f-39ec-4a03-bb98-d44f9e8490d3,68,22,30,32,47,29,19,16,16,63,17,38,20,9,33,37,36,20,24,33,37,36,19,13,0,0,0,-1,-11,SG,37,SG,37
0f8b54c7-1839-4821-8c90-277e9a2e3b76,74,29,11,38,38,24,4,24,29,23,16,35,20,57,21,23,27,28,28,21,23,27,27,18,0,0,0,-1,-10,PF,28,SF,27
11a0294e-7070-4ff9-ba33-b71dee8f396f,75,77,40,4,41,27,2,23,24,33,39,39,27,37,25,42,34,24,31,25,42,34,25,19,0,0,0,1,-12,SG,42,SG,42
11dd16f1-0109-4ede-9f50-5c88409f4220,69,58,46,14,26,35,32,12,14,48,32,16,14,88,29,39,31,16,29,29,39,31,16,15,0,0,0,0,-14,SG,39,SG,39
1267621e-0a18-443e-9f3d-6defc483da24,72,6,2,2,16,13,18,4,10,13,14,2,8,54,11,8,9,8,4,11,8,9,7,3,0,0,0,-1,-1,PG,11,PG,11
134d72b7-00a7-4b96-b4d8-8ba0bbb281f9,70,14,42,33,46,29,37,42,32,53,58,43,30,16,40,40,38,35,28,40,40,38,32,18,0,0,0,-3,-10,PG,40,PG,40
