player_id,team_id,class_year,height_in,weight,SC,SH,ID,OD,PS,BH,RB,ST,AG,ND,IQ,FT,CH,rt_PG,rt_SG,rt_SF,rt_PF,rt_C,argmax_position,top1_rt,top2_rt,rt_margin
1b15ccb9-17b1-492c-a0c4-e82b3d368079,69a6fcb68d2c56aa82e48a52,SR,76,218,62,24,94,21,44,12,88,79,26,81,59,34,98,33,30,51,77,58,PF,77,58,19
1cab89f0-f2b2-4c45-8d31-6e38746c4477,69a6fcb68d2c56aa82e48a52,SO,73,185,33,17,44,62,17,30,40,45,86,61,73,10,72,46,39,52,39,24,SF,52,46,6
6c2d1254-7569-4104-8b13-9ef0c096dfa6,69a6fcb68d2c56aa82e48a52,JR,70,192,47,27,23,52,17,46,7,31,40,29,20,4,57,32,35,34,18,16,SG,35,34,1
79c6c5c9-43a2-4d8a-b7f9-337231091e64,69a6fcb68d2c56aa82e48a52,SO,70,168,19,23,33,66,52,67,19,24,72,95,49,57,28,58,43,43,24,14,PG,58,43,15
8387538a-1a76-451d-9c08-9c812bf65fdc,69a6fcb68d2c56aa82e48a52,SO,70,178,12,73,24,16,29,5,10,13,12,12,28,91,94,24,43,25,20,9,SG,43,25,18
8487cb3b-887b-472a-90d9-f46caa572d46,69a6fcb68d2c56aa82e48a52,SR,72,175,37,80,45,87,95,89,25,32,80,89,92,89,57,89,79,62,40,21,PG,89,79,10
8785cbe5-da8f-4c37-9b2e-54bfd8b029bb,69a6fcb68d2c56aa82e48a52,JR,82,260,81,12,74,9,53,17,91,83,30,24,49,22,42,31,24,49,75,89,C,89,75,14
88ab7e7e-c3ef-4f45-ab85-0814891fddb8,69a6fcb68d2c56aa82e48a52,JR,76,207,47,18,64,29,48,21,44,70,55,64,37,81,42,36,33,53,57,44,PF,57,53,4
bd2a1128-80b1-48e9-be21-835031805b49,69a6fcb68d2c56aa82e48a52,SR,72,181,28,13,10,30,30,43,6,15,12,12,41,52,93,35,23,20,16,9,PG,35,23,12
c3810a7f-3ad0-436c-8892-9caafde878e7,69a6fcb68d2c56aa82e48a52,FR,67,156,10,17,17,15,12,19,29,24,23,8,31,26,9,21,17,20,21,12,PG,21,21,0
d53139da-06cd-4e4b-8ed4-a107fbb58bd5,69a6fcb68d2c56aa82e48a52,FR,73,171,26,30,13,51,31,21,15,13,42,50,15,42,84,28,36,29,18,10,SG,36,29,7
dd2efd0a-e857-4ec5-9436-2b7038f0db29,69a6fcb68d2c56aa82e48a52,SR,71,207,18,47,35,58,12,61,53,24,26,29,19,49,6,38,42,32,34,20,SG,42,38,4
f23fae35-ea45-44fe-a698-a06580707783,69a6fcb68d2c56aa82e48a52,SR,74,201,25,25,54,21,64,23,68,55,25,95,26,75,38,33,28,38,52,30,PF,52,38,14
f3f74388-9907-4e71-becd-05992f8ce5b2,69a6fcb68d2c56aa82e48a52,SO,77,222,87,49,65,80,67,49,70,45,98,29,64,83,88,65,69,71,64,60,SF,71,69,2
fa15e712-21f7-4e6f-951d-b5fb3bb45812,69a6fcb68d2c56aa82e48a52,SR,75,202,76,105,36,72,54,62,34,45,71,91,75,107,58,70,86,67,48,29,SG,86,70,16
1af6348c-f61c-4ada-b490-d6b5f7c99e7d,69a6fcb68d2c56aa82e48a53,SO,75,216,25,9,82,78,49,35,50,62,41,63,79,26,35,51,37,50,52,33,PF,52,51,1
1dcbb946-1031-4f7c-a9a2-866f400faeb4,69a6fcb68d2c56aa82e48a53,SO,68,180,25,10,25,25,10,9,1,31,25,40,12,24,20,14,18,24,15,12,SF,24,18,6
2bba8939-29f2-456d-9d6e-715bff328f3c,69a6fcb68d2c56aa82e48a53,FR,78,221,38,5,16,5,15,4,30,24,9,15,22,15,23,11,11,16,29,46,C,46,29,17
33971d07-6f6d-459c-b24f-a0f9ce3cd477,69a6fcb68d2c56aa82e48a53,JR,70,168,5,43,9,25,26,13,5,11,95,63,15,31,79,27,37,37,10,4,SG,37,37,0
37688b1e-f172-4f52-b57a-4b0c3f4c03e2,69a6fcb68d2c56aa82e48a53,JR,76,213,20,74,33,12,62,17,37,51,13,25,26,84,20,31,44,35,47,31,PF,47,44,3
4705c90a-e3cb-4dbe-bdda-62112d7957e6,69a6fcb68d2c56aa82e48a53,FR,72,170,26,30,9,32,2,17,14,26,6,22,32,18,33,20,26,20,20,11,SG,26,20,6
48313d96-b5dc-4f35-bec0-3ff0356d9f0b,69a6fcb68d2c56aa82e48a53,SO,75,177,11,58,12,25,36,11,59,10,13,12,70,74,91,37,41,24,35,14,SG,41,37,4
728177e8-4742-4cb0-97cf-86497685819e,69a6fcb68d2c56aa82e48a53,SR,68,169,14,65,6,56,65,101,25,14,88,87,61,103,88,78,62,48,24,9,PG,78,62,16
7c0baaab-a1fc-474c-ae39-735fa77f223c,69a6fcb68d2c56aa82e48a53,JR,76,230,55,15,45,16,21,6,59,94,18,20,5,34,35,12,20,43,61,48,PF,61,48,13
acbbd4d6-d841-4217-9fe6-7a73ce5e1f8b,69a6fcb68d2c56aa82e48a53,FR,71,182,17,15,9,11,30,44,14,5,12,26,24,75,90,30,18,14,13,7,PG,30,18,12
beffda50-d288-4659-a0e8-d95523597635,69a6fcb68d2c56aa82e48a53,SR,74,205,94,86,80,79,35,62,80,75,95,62,42,81,59,60,81,83,72,49,SF,83,81,2
ca3259d3-5a3d-48b6-875b-1c16d591c535,69a6fcb68d2c56aa82e48a53,SR,72,180,35,22,21,25,55,29,43,27,18,59,45,35,28,35,27,26,32,19,PG,35,32,3
d2b8b729-8195-4ded-bc68-c49792d8198c,69a6fcb68d2c56aa82e48a53,SR,76,175,50,24,22,1,1,22,26,1,18,22,62,26,33,27,21,19,27,25,PG,27,27,0
