=== BY CUMULATIVE TIME (top 80) ===
         35591607 function calls (30782405 primitive calls) in 18.430 seconds

   Ordered by: cumulative time
   List reduced from 2047 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     12/6    0.001    0.000   18.290    3.048 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/monitor.py:57(target)
      254    0.022    0.000   17.243    0.068 /Users/jamesdavies/gob-simplified/BackEnd/models/game_manager.py:1459(simulate_macro_turn)
      254    0.249    0.001   16.191    0.064 /Users/jamesdavies/gob-simplified/BackEnd/models/turn_manager.py:1432(run_micro_turn)
        4    0.008    0.002   12.438    3.110 /Users/jamesdavies/gob-simplified/BackEnd/main.py:362(simulate_quarter)
        5    0.000    0.000   11.882    2.376 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/monitor.py:187(_run)
        5    0.000    0.000   11.881    2.376 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/monitor.py:224(_check_server)
2887977/25216    3.243    0.000    7.053    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/copy.py:119(deepcopy)
445464/25076    1.377    0.000    6.976    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/copy.py:218(_deepcopy_dict)
      2/1    0.000    0.000    6.408    6.408 /Users/jamesdavies/gob-simplified/scripts/perf_sim_baseline.py:194(run_cpu_game)
      2/1    0.000    0.000    6.407    6.407 /Users/jamesdavies/gob-simplified/BackEnd/api/franchise_routes.py:6026(_run_franchise_cpu_full_simulation_core)
      127    0.004    0.000    5.950    0.047 /Users/jamesdavies/gob-simplified/BackEnd/models/turn_manager.py:3897(resolve_half_court_offense)
      127    0.024    0.000    5.585    0.044 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:7491(resolve_half_court_offense_logic)
54670/25982    0.080    0.000    4.755    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/copy.py:192(_deepcopy_list)
        5    0.003    0.001    4.245    0.849 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/monitor.py:256(_check_once)
1482425/435    2.075    0.000    3.904    0.009 /Users/jamesdavies/gob-simplified/BackEnd/models/turn_manager.py:1446(convert_players)
      384    0.009    0.000    3.736    0.010 /Users/jamesdavies/gob-simplified/BackEnd/models/animator.py:1483(compute_defender_grid)
      270    0.011    0.000    3.559    0.013 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:5769(_stamp_contest_defender_grid)
      144    0.026    0.000    3.522    0.024 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:6342(_resolve_hco_offense_shot_dynamic)
        5    0.006    0.001    3.438    0.688 /Users/jamesdavies/gob-simplified/BackEnd/models/turn_manager.py:4227(_preview_non_hco_eoq_turn)
        5    0.000    0.000    3.347    0.669 /Users/jamesdavies/gob-simplified/BackEnd/models/turn_manager.py:4191(_clone_game_for_preview)
      384    0.083    0.000    2.995    0.008 /Users/jamesdavies/gob-simplified/BackEnd/models/animator.py:1273(_build_all_animations)
   286/47    0.002    0.000    2.483    0.053 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/copy.py:248(_reconstruct)
      117    0.145    0.001    2.337    0.020 /Users/jamesdavies/gob-simplified/BackEnd/models/animator.py:1835(_position_zone_defenders)
     4152    0.230    0.000    2.048    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:1070(assign_all_zone_defenders)
  9498445    1.990    0.000    1.990    0.000 {method 'get' of 'dict' objects}
      432    0.006    0.000    1.228    0.003 /Users/jamesdavies/gob-simplified/BackEnd/models/turn_manager.py:189(_attach_clock_contract)
      432    0.006    0.000    1.205    0.003 /Users/jamesdavies/gob-simplified/BackEnd/models/turn_manager.py:346(_build_clock_event_ledger)
     2004    0.008    0.000    1.196    0.001 /Users/jamesdavies/gob-simplified/BackEnd/models/turn_manager.py:362(append_event)
       35    0.001    0.000    1.128    0.032 /Users/jamesdavies/gob-simplified/BackEnd/models/turn_manager.py:4095(_emit_pressure_animation_steps)
   241598    0.179    0.000    1.088    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:557(_point_in_zone)
6632322/6632058    1.054    0.000    1.057    0.000 {built-in method builtins.isinstance}
      6/3    0.000    0.000    0.998    0.333 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/monitor.py:414(_run)
    64/50    0.075    0.001    0.972    0.019 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/network.py:328(_receive_data_on_socket)
   123/99    0.022    0.000    0.970    0.010 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/socket_checker.py:45(select)
      103    0.002    0.000    0.946    0.009 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:5817(_hco_contest_final_skeleton)
    26/23    0.000    0.000    0.914    0.040 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/helpers.py:316(inner)
       34    0.001    0.000    0.882    0.026 /Users/jamesdavies/gob-simplified/BackEnd/utils/db_utils.py:847(build_lineup_from_mongo)
    70/64    0.002    0.000    0.879    0.014 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/ssl.py:1289(recv_into)
       67    0.000    0.000    0.874    0.013 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/cursor.py:1260(next)
