=== BY CUMULATIVE TIME (top 80) ===
         48140739 function calls (40876000 primitive calls) in 18.358 seconds

   Ordered by: cumulative time
   List reduced from 2011 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      185    0.006    0.000   11.281    0.061 /Users/jamesdavies/gob-simplified/BackEnd/models/game_manager.py:1441(simulate_macro_turn)
      185    0.063    0.000   10.991    0.059 /Users/jamesdavies/gob-simplified/BackEnd/models/turn_manager.py:1432(run_micro_turn)
        4    0.003    0.001   10.021    2.505 /Users/jamesdavies/gob-simplified/BackEnd/main.py:359(simulate_quarter)
5292582/19626    2.899    0.000    6.353    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/copy.py:119(deepcopy)
702137/19342    1.080    0.000    6.324    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/copy.py:218(_deepcopy_dict)
      2/1    0.000    0.000    5.963    5.963 /Users/jamesdavies/gob-simplified/scripts/perf_sim_baseline.py:194(run_cpu_game)
      2/1    0.000    0.000    5.949    5.949 /Users/jamesdavies/gob-simplified/BackEnd/api/franchise_routes.py:5313(_run_franchise_cpu_full_simulation_core)
198971/7610    0.129    0.000    5.598    0.001 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/copy.py:192(_deepcopy_list)
        3    0.009    0.003    5.108    1.703 /Users/jamesdavies/gob-simplified/BackEnd/models/turn_manager.py:4189(_preview_non_hco_eoq_turn)
    137/3    0.000    0.000    5.054    1.685 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/copy.py:248(_reconstruct)
      107    0.001    0.000    3.044    0.028 /Users/jamesdavies/gob-simplified/BackEnd/models/turn_manager.py:3895(resolve_half_court_offense)
      107    0.009    0.000    3.022    0.028 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:7491(resolve_half_court_offense_logic)
      380    0.003    0.000    2.163    0.006 /Users/jamesdavies/gob-simplified/BackEnd/models/animator.py:1483(compute_defender_grid)
      124    0.013    0.000    1.912    0.015 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:6342(_resolve_hco_offense_shot_dynamic)
      205    0.003    0.000    1.890    0.009 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:5769(_stamp_contest_defender_grid)
      380    0.033    0.000    1.818    0.005 /Users/jamesdavies/gob-simplified/BackEnd/models/animator.py:1273(_build_all_animations)
      178    0.097    0.001    1.617    0.009 /Users/jamesdavies/gob-simplified/BackEnd/models/animator.py:1835(_position_zone_defenders)
      112    0.000    0.000    1.526    0.014 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/cursor.py:1260(next)
       51    0.000    0.000    1.526    0.030 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/cursor.py:1144(_refresh)
       44    0.001    0.000    1.525    0.035 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/cursor.py:1045(__send_message)
    88/44    0.000    0.000    1.523    0.035 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/_csot.py:100(csot_wrapper)
       44    0.000    0.000    1.523    0.035 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/mongo_client.py:1352(_run_operation)
       44    0.000    0.000    1.523    0.035 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/mongo_client.py:1464(_retryable_read)
       44    0.000    0.000    1.522    0.035 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/mongo_client.py:1428(_retry_internal)
       44    0.000    0.000    1.522    0.035 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/mongo_client.py:2295(run)
