=== BY CUMULATIVE TIME (top 80) ===
         40531741 function calls (35829449 primitive calls) in 11.112 seconds

   Ordered by: cumulative time
   List reduced from 2055 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      2/1    0.000    0.000   10.882   10.882 /Users/jamesdavies/gob-simplified/scripts/perf_sim_baseline.py:194(run_cpu_game)
      2/1    0.000    0.000   10.779   10.779 /Users/jamesdavies/gob-simplified/BackEnd/api/franchise_routes.py:5313(_run_franchise_cpu_full_simulation_core)
        4    0.004    0.001   10.053    2.513 /Users/jamesdavies/gob-simplified/BackEnd/main.py:359(simulate_quarter)
      257    0.007    0.000    9.990    0.039 /Users/jamesdavies/gob-simplified/BackEnd/models/game_manager.py:1441(simulate_macro_turn)
      257    0.084    0.000    9.710    0.038 /Users/jamesdavies/gob-simplified/BackEnd/models/turn_manager.py:1432(run_micro_turn)
      122    0.001    0.000    3.750    0.031 /Users/jamesdavies/gob-simplified/BackEnd/models/turn_manager.py:3895(resolve_half_court_offense)
      122    0.010    0.000    3.729    0.031 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:7491(resolve_half_court_offense_logic)
2751733/24134    1.471    0.000    3.198    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/copy.py:119(deepcopy)
397223/23974    0.534    0.000    3.166    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/copy.py:218(_deepcopy_dict)
      383    0.003    0.000    2.995    0.008 /Users/jamesdavies/gob-simplified/BackEnd/models/animator.py:1483(compute_defender_grid)
      262    0.004    0.000    2.787    0.011 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:5769(_stamp_contest_defender_grid)
      383    0.036    0.000    2.652    0.007 /Users/jamesdavies/gob-simplified/BackEnd/models/animator.py:1273(_build_all_animations)
      130    0.010    0.000    2.538    0.020 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:6342(_resolve_hco_offense_shot_dynamic)
      231    0.146    0.001    2.437    0.011 /Users/jamesdavies/gob-simplified/BackEnd/models/animator.py:1835(_position_zone_defenders)
86001/6512    0.055    0.000    2.362    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/copy.py:192(_deepcopy_list)
    61/59    0.000    0.000    2.349    0.040 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/helpers.py:316(inner)
    64/62    0.001    0.000    2.344    0.038 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/network.py:244(receive_message)
  128/124    0.002    0.000    2.342    0.019 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/network.py:328(_receive_data_on_socket)
      127    0.001    0.000    2.326    0.018 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/cursor.py:1260(next)
       65    0.001    0.000    2.325    0.036 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/cursor.py:1144(_refresh)
       58    0.001    0.000    2.324    0.040 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/cursor.py:1045(__send_message)
   116/58    0.005    0.000    2.321    0.040 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/_csot.py:100(csot_wrapper)
       58    0.000    0.000    2.321    0.040 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/mongo_client.py:1352(_run_operation)
       58    0.000    0.000    2.321    0.040 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/mongo_client.py:1464(_retryable_read)
  197/187    0.027    0.000    2.312    0.012 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/ssl.py:1289(recv_into)
       58    0.000    0.000    2.291    0.040 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/mongo_client.py:1428(_retry_internal)
       58    0.000    0.000    2.290    0.039 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/mongo_client.py:2295(run)
       58    0.000    0.000    2.289    0.039 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/mongo_client.py:2431(_read)
       58    0.000    0.000    2.278    0.039 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/mongo_client.py:1383(_cmd)
       58    0.001    0.000    2.276    0.039 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/server.py:97(run_operation)
       61    0.000    0.000    2.272    0.037 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/pool.py:1014(receive_message)
    10020    0.229    0.000    1.993    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:1070(assign_all_zone_defenders)
    52/51    0.000    0.000    1.976    0.039 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/collection.py:1475(find_one)
        1    0.003    0.003    1.840    1.840 /Users/jamesdavies/gob-simplified/BackEnd/models/turn_manager.py:4189(_preview_non_hco_eoq_turn)
     53/1    0.000    0.000    1.820    1.820 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/copy.py:248(_reconstruct)
  197/187    0.003    0.000    1.812    0.010 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/ssl.py:1129(read)
  197/187    1.560    0.008    1.560    0.008 {method 'read' of '_ssl._SSLSocket' objects}
      371    0.001    0.000    1.546    0.004 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:10009(get_hco_skeleton)
1518373/434    0.982    0.000    1.499    0.003 /Users/jamesdavies/gob-simplified/BackEnd/models/turn_manager.py:1446(convert_players)
      135    0.002    0.000    1.435    0.011 /Users/jamesdavies/gob-simplified/BackEnd/models/turn_manager.py:3543(calculate_ev)
   584580    0.175    0.000    1.048    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:557(_point_in_zone)
 10581640    0.964    0.000    0.964    0.000 {method 'get' of 'dict' objects}
   584580    0.604    0.000    0.833    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:390(_point_in_polygon)
      371    0.000    0.000    0.815    0.002 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:9996(_sync_current_playcall_to_canonical_name)
      349    0.001    0.000    0.814    0.002 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:9913(_canonical_offensive_playcall_name)
      371    0.002    0.000    0.704    0.002 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:10126(_get_skeleton_from_team_plays)
      102    0.001    0.000    0.645    0.006 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:5817(_hco_contest_final_skeleton)
    73/66    0.125    0.002    0.600    0.009 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/socket_checker.py:45(select)
       39    0.000    0.000    0.591    0.015 /Users/jamesdavies/gob-simplified/BackEnd/models/turn_manager.py:4093(_emit_pressure_animation_steps)
    10020    0.075    0.000    0.563    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:877(_detect_overlapping_zones)
      3/2    0.000    0.000    0.468    0.234 /Users/jamesdavies/gob-simplified/BackEnd/models/team_manager.py:264(__init__)
7103444/7103212    0.458    0.000    0.460    0.000 {built-in method builtins.isinstance}
    34460    0.074    0.000    0.447    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:720(assign_zone_defender_coords)
        2    0.000    0.000    0.440    0.220 /Users/jamesdavies/gob-simplified/BackEnd/models/team_manager.py:471(_load_roster)
