=== BY CUMULATIVE TIME (top 80) ===
         27659299 function calls (25340610 primitive calls) in 8.026 seconds

   Ordered by: cumulative time
   List reduced from 2000 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      2/1    0.000    0.000    7.933    7.933 /Users/jamesdavies/gob-simplified/scripts/perf_sim_baseline.py:181(run_cpu_game)
 3544/229    0.018    0.000    7.921    0.035 /Users/jamesdavies/gob-simplified/BackEnd/utils/sim_profiler.py:105(wrapper)
      2/1    0.000    0.000    7.766    7.766 /Users/jamesdavies/gob-simplified/BackEnd/api/franchise_routes.py:4229(_run_franchise_cpu_full_simulation_core)
      214    0.005    0.000    7.397    0.035 /Users/jamesdavies/gob-simplified/BackEnd/models/game_manager.py:1408(simulate_macro_turn)
        4    0.003    0.001    7.266    1.817 /Users/jamesdavies/gob-simplified/BackEnd/main.py:359(simulate_quarter)
      214    0.071    0.000    7.122    0.033 /Users/jamesdavies/gob-simplified/BackEnd/models/turn_manager.py:1428(run_micro_turn)
      108    0.002    0.000    4.173    0.039 /Users/jamesdavies/gob-simplified/BackEnd/models/turn_manager.py:3919(resolve_half_court_offense)
      108    0.009    0.000    4.123    0.038 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:7393(resolve_half_court_offense_logic)
      415    0.004    0.000    3.329    0.008 /Users/jamesdavies/gob-simplified/BackEnd/models/animator.py:1483(compute_defender_grid)
      134    0.016    0.000    3.145    0.023 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:6249(_resolve_hco_offense_shot_dynamic)
      415    0.041    0.000    2.827    0.007 /Users/jamesdavies/gob-simplified/BackEnd/models/animator.py:1273(_build_all_animations)
      220    0.147    0.001    2.538    0.012 /Users/jamesdavies/gob-simplified/BackEnd/models/animator.py:1835(_position_zone_defenders)
     9702    0.231    0.000    2.062    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:1070(assign_all_zone_defenders)
      194    0.002    0.000    1.859    0.010 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:5698(_stamp_contest_defender_grid)
   126/56    0.001    0.000    1.728    0.031 /Users/jamesdavies/gob-simplified/BackEnd/utils/sim_profiler.py:134(wrapper)
      110    0.000    0.000    1.701    0.015 /Users/jamesdavies/gob-simplified/.venv/lib/python3.13/site-packages/pymongo/cursor.py:1260(next)
       49    0.000    0.000    1.699    0.035 /Users/jamesdavies/gob-simplified/.venv/lib/python3.13/site-packages/pymongo/cursor.py:1144(_refresh)
       42    0.001    0.000    1.698    0.040 /Users/jamesdavies/gob-simplified/.venv/lib/python3.13/site-packages/pymongo/cursor.py:1045(__send_message)
    84/42    0.000    0.000    1.696    0.040 /Users/jamesdavies/gob-simplified/.venv/lib/python3.13/site-packages/pymongo/_csot.py:100(csot_wrapper)
       42    0.000    0.000    1.555    0.037 /Users/jamesdavies/gob-simplified/.venv/lib/python3.13/site-packages/pymongo/mongo_client.py:1352(_run_operation)
       42    0.000    0.000    1.555    0.037 /Users/jamesdavies/gob-simplified/.venv/lib/python3.13/site-packages/pymongo/mongo_client.py:1464(_retryable_read)
       42    0.000    0.000    1.497    0.036 /Users/jamesdavies/gob-simplified/.venv/lib/python3.13/site-packages/pymongo/mongo_client.py:1428(_retry_internal)
       42    0.000    0.000    1.496    0.036 /Users/jamesdavies/gob-simplified/.venv/lib/python3.13/site-packages/pymongo/mongo_client.py:2295(run)
       42    0.000    0.000    1.495    0.036 /Users/jamesdavies/gob-simplified/.venv/lib/python3.13/site-packages/pymongo/mongo_client.py:2431(_read)
       42    0.000    0.000    1.488    0.035 /Users/jamesdavies/gob-simplified/.venv/lib/python3.13/site-packages/pymongo/mongo_client.py:1383(_cmd)
       42    0.001    0.000    1.487    0.035 /Users/jamesdavies/gob-simplified/.venv/lib/python3.13/site-packages/pymongo/server.py:97(run_operation)
    45/42    0.000    0.000    1.467    0.035 /Users/jamesdavies/gob-simplified/.venv/lib/python3.13/site-packages/pymongo/pool.py:1014(receive_message)
  151/147    0.030    0.000    1.466    0.010 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/ssl.py:1289(recv_into)
    45/41    0.000    0.000    1.460    0.036 /Users/jamesdavies/gob-simplified/.venv/lib/python3.13/site-packages/pymongo/helpers.py:316(inner)
       35    0.000    0.000    1.449    0.041 /Users/jamesdavies/gob-simplified/.venv/lib/python3.13/site-packages/pymongo/collection.py:1475(find_one)
    48/41    0.001    0.000    1.440    0.035 /Users/jamesdavies/gob-simplified/.venv/lib/python3.13/site-packages/pymongo/network.py:244(receive_message)
