=== BY CUMULATIVE TIME (top 80) ===
         25611176 function calls (23374641 primitive calls) in 9.061 seconds

   Ordered by: cumulative time
   List reduced from 2299 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      213    0.006    0.000    9.031    0.042 /Users/jamesdavies/gob-simplified/BackEnd/models/game_manager.py:1391(simulate_macro_turn)
      2/1    0.000    0.000    8.835    8.835 /Users/jamesdavies/gob-simplified/scripts/perf_sim_baseline.py:181(run_cpu_game)
        1    0.000    0.000    8.804    8.804 /Users/jamesdavies/gob-simplified/BackEnd/api/franchise_routes.py:3909(_run_franchise_cpu_full_simulation_core)
      213    0.078    0.000    8.637    0.041 /Users/jamesdavies/gob-simplified/BackEnd/models/turn_manager.py:1428(run_micro_turn)
        4    0.005    0.001    8.484    2.121 /Users/jamesdavies/gob-simplified/BackEnd/main.py:359(simulate_quarter)
      107    0.001    0.000    3.808    0.036 /Users/jamesdavies/gob-simplified/BackEnd/models/turn_manager.py:3919(resolve_half_court_offense)
      107    0.009    0.000    3.768    0.035 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:7250(resolve_half_court_offense_logic)
      204    0.003    0.000    2.872    0.014 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:5618(_stamp_contest_defender_grid)
      204    0.002    0.000    2.868    0.014 /Users/jamesdavies/gob-simplified/BackEnd/models/animator.py:1483(compute_defender_grid)
      204    0.032    0.000    2.558    0.013 /Users/jamesdavies/gob-simplified/BackEnd/models/animator.py:1273(_build_all_animations)
       39    0.000    0.000    2.376    0.061 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/collection.py:1475(find_one)
      114    0.133    0.001    2.360    0.021 /Users/jamesdavies/gob-simplified/BackEnd/models/animator.py:1835(_position_zone_defenders)
      119    0.002    0.000    2.263    0.019 /Users/jamesdavies/gob-simplified/BackEnd/models/turn_manager.py:3567(calculate_ev)
      119    0.011    0.000    2.186    0.018 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:6169(_resolve_hco_offense_shot_dynamic)
      148    0.000    0.000    2.080    0.014 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/cursor.py:1260(next)
       63    0.001    0.000    2.079    0.033 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/cursor.py:1144(_refresh)
       51    0.001    0.000    2.078    0.041 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/cursor.py:1045(__send_message)
   102/51    0.000    0.000    2.076    0.041 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/_csot.py:100(csot_wrapper)
       51    0.000    0.000    2.076    0.041 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/mongo_client.py:1352(_run_operation)
       51    0.000    0.000    2.075    0.041 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/mongo_client.py:1464(_retryable_read)
      347    0.001    0.000    1.985    0.006 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:9750(get_hco_skeleton)
       51    0.000    0.000    1.961    0.038 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/mongo_client.py:1428(_retry_internal)
       51    0.000    0.000    1.960    0.038 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/mongo_client.py:2295(run)
       51    0.000    0.000    1.960    0.038 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/mongo_client.py:2431(_read)
       51    0.000    0.000    1.951    0.038 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/mongo_client.py:1383(_cmd)
       51    0.001    0.000    1.950    0.038 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/server.py:97(run_operation)
    57/52    0.001    0.000    1.946    0.037 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/network.py:244(receive_message)
  114/104    0.008    0.000    1.936    0.019 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/network.py:328(_receive_data_on_socket)
     8225    0.200    0.000    1.917    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:1070(assign_all_zone_defenders)
  219/207    0.014    0.000    1.827    0.009 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/ssl.py:1289(recv_into)
  219/207    0.024    0.000    1.691    0.008 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/ssl.py:1129(read)
      347    0.002    0.000    1.654    0.005 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:9867(_get_skeleton_from_team_plays)
  219/207    1.397    0.006    1.397    0.007 {method 'read' of '_ssl._SSLSocket' objects}
1255761/362    0.870    0.000    1.386    0.004 /Users/jamesdavies/gob-simplified/BackEnd/models/turn_manager.py:1442(convert_players)
859004/19387    0.553    0.000    1.173    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/copy.py:119(deepcopy)
150641/19227    0.200    0.000    1.143    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/copy.py:218(_deepcopy_dict)
    57/31    0.113    0.002    1.141    0.037 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/helpers.py:316(inner)
       88    0.001    0.000    1.028    0.012 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:5656(_hco_contest_final_skeleton)
   479013    0.172    0.000    1.024    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:557(_point_in_zone)
    51/28    0.069    0.001    0.986    0.035 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/pool.py:1014(receive_message)
   479013    0.578    0.000    0.812    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:390(_point_in_polygon)
  5887725    0.659    0.000    0.659    0.000 {method 'get' of 'dict' objects}
     8225    0.072    0.000    0.548    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:877(_detect_overlapping_zones)
12845/4824    0.008    0.000    0.523    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/copy.py:192(_deepcopy_list)
    16849    0.114    0.000    0.479    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:911(_resolve_overlap_assignments)
       26    0.000    0.000    0.479    0.018 /Users/jamesdavies/gob-simplified/BackEnd/models/turn_manager.py:4117(_emit_pressure_animation_steps)
      347    0.000    0.000    0.445    0.001 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:9737(_sync_current_playcall_to_canonical_name)
      302    0.001    0.000    0.444    0.001 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:9654(_canonical_offensive_playcall_name)
5932885/5932309    0.440    0.000    0.441    0.000 {built-in method builtins.isinstance}
    25146    0.060    0.000    0.372    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:720(assign_zone_defender_coords)
       26    0.002    0.000    0.321    0.012 /Users/jamesdavies/gob-simplified/BackEnd/engine/dynamic_hct_step_emitter.py:972(build_dynamic_hct_animation_steps)
        1    0.000    0.000    0.319    0.319 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared.py:2401(summarize_game_state)
    60/51    0.011    0.000    0.317    0.006 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/socket_checker.py:45(select)
        1    0.000    0.000    0.315    0.315 /Users/jamesdavies/gob-simplified/BackEnd/utils/game_team_scoreboard_enrichment.py:95(enrich_franchise_teams_scoreboard_meta)
        1    0.000    0.000    0.285    0.285 /Users/jamesdavies/gob-simplified/BackEnd/models/game_manager.py:30(__init__)
      342    0.000    0.000    0.284    0.001 /Users/jamesdavies/gob-simplified/BackEnd/engine/dynamic_hct_step_emitter.py:82(_project_pressure_step)
      342    0.000    0.000    0.284    0.001 /Users/jamesdavies/gob-simplified/BackEnd/engine/pressure_step_state.py:102(project_animation_step_through_pressure_state)
        2    0.000    0.000    0.284    0.142 /Users/jamesdavies/gob-simplified/BackEnd/models/team_manager.py:264(__init__)
        2    0.000    0.000    0.280    0.140 /Users/jamesdavies/gob-simplified/BackEnd/models/team_manager.py:402(_load_roster)
        2    0.000    0.000    0.276    0.138 /Users/jamesdavies/gob-simplified/BackEnd/utils/roster_loader.py:194(load_roster)
        2    0.001    0.000    0.276    0.138 /Users/jamesdavies/gob-simplified/BackEnd/utils/roster_loader.py:17(_load_from_db)
    44290    0.144    0.000    0.227    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:363(_get_zone_coords)
      427    0.001    0.000    0.225    0.001 /Users/jamesdavies/gob-simplified/BackEnd/models/game_manager.py:2372(update_team_stats)
      854    0.121    0.000    0.224    0.000 /Users/jamesdavies/gob-simplified/BackEnd/models/team_manager.py:915(update_team_stats)
  1014047    0.152    0.000    0.218    0.000 /Users/jamesdavies/gob-simplified/BackEnd/models/turn_manager.py:1432(_safe_key)
    40165    0.034    0.000    0.215    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:1858(get_defender_coords)
      531    0.001    0.000    0.202    0.000 /Users/jamesdavies/gob-simplified/BackEnd/engine/pressure_step_state.py:181(_schema_projection)
      342    0.002    0.000    0.175    0.001 /Users/jamesdavies/gob-simplified/BackEnd/engine/pressure_step_state.py:123(_state_from_step)
      368    0.001    0.000    0.168    0.000 /Users/jamesdavies/gob-simplified/BackEnd/engine/pressure_step_state.py:78(project_pressure_step_states_to_animation_steps)
       23    0.000    0.000    0.164    0.007 /Users/jamesdavies/gob-simplified/BackEnd/utils/db_utils.py:503(build_lineup_from_mongo)
       23    0.000    0.000    0.161    0.007 /Users/jamesdavies/gob-simplified/BackEnd/utils/db_utils.py:307(_get_or_compute_team_fill_order)
        2    0.001    0.000    0.161    0.081 /Users/jamesdavies/gob-simplified/BackEnd/utils/db_utils.py:255(compute_team_fill_order)
        2    0.000    0.000    0.159    0.080 /Users/jamesdavies/gob-simplified/BackEnd/utils/playbook_weights_utils.py:265(compute_position_shot_weights)
    40167    0.063    0.000    0.143    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:1521(calculate_defender_coords)
       12    0.000    0.000    0.142    0.012 /Users/jamesdavies/gob-simplified/BackEnd/engine/dynamic_fcp_step_emitter.py:15(build_dynamic_fcp_animation_steps)
      154    0.001    0.000    0.140    0.001 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:162(_apply_set_play_runtime_position_mapping)
     3422    0.004    0.000    0.128    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/logging/__init__.py:1524(warning)
      119    0.000    0.000    0.124    0.001 /Users/jamesdavies/gob-simplified/BackEnd/models/turn_manager.py:3238(_get_plays_by_type_and_focus)
     3241    0.003    0.000    0.124    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/logging/__init__.py:2185(warning)
      119    0.002    0.000    0.123    0.001 /Users/jamesdavies/gob-simplified/BackEnd/models/turn_manager.py:2696(set_playcalls)




=== BY TOTAL (SELF) TIME (top 80) ===
         25611176 function calls (23374641 primitive calls) in 9.061 seconds

   Ordered by: internal time
   List reduced from 2299 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  219/207    1.397    0.006    1.397    0.007 {method 'read' of '_ssl._SSLSocket' objects}
1255761/362    0.870    0.000    1.386    0.004 /Users/jamesdavies/gob-simplified/BackEnd/models/turn_manager.py:1442(convert_players)
  5887725    0.659    0.000    0.659    0.000 {method 'get' of 'dict' objects}
   479013    0.578    0.000    0.812    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:390(_point_in_polygon)
859004/19387    0.553    0.000    1.173    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/copy.py:119(deepcopy)
5932885/5932309    0.440    0.000    0.441    0.000 {built-in method builtins.isinstance}
     67/0    0.293    0.004    0.000          {built-in method time.sleep}
     8225    0.200    0.000    1.917    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:1070(assign_all_zone_defenders)
     58/0    0.200    0.003    0.000          {method 'poll' of 'select.poll' objects}
150641/19227    0.200    0.000    1.143    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/copy.py:218(_deepcopy_dict)
   479013    0.172    0.000    1.024    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:557(_point_in_zone)
  1014047    0.152    0.000    0.218    0.000 /Users/jamesdavies/gob-simplified/BackEnd/models/turn_manager.py:1432(_safe_key)
    44290    0.144    0.000    0.227    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:363(_get_zone_coords)
      114    0.133    0.001    2.360    0.021 /Users/jamesdavies/gob-simplified/BackEnd/models/animator.py:1835(_position_zone_defenders)
      854    0.121    0.000    0.224    0.000 /Users/jamesdavies/gob-simplified/BackEnd/models/team_manager.py:915(update_team_stats)
  1463050    0.115    0.000    0.115    0.000 {built-in method builtins.len}
