=== BY CUMULATIVE TIME (top 80) ===
         22631266 function calls (20647857 primitive calls) in 7.201 seconds

   Ordered by: cumulative time
   List reduced from 2313 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      184    0.005    0.000    7.279    0.040 /Users/jamesdavies/gob-simplified/BackEnd/models/game_manager.py:1391(simulate_macro_turn)
      2/1    0.000    0.000    7.156    7.156 /Users/jamesdavies/gob-simplified/scripts/perf_sim_baseline.py:181(run_cpu_game)
        1    0.000    0.000    7.126    7.126 /Users/jamesdavies/gob-simplified/BackEnd/api/franchise_routes.py:3899(_run_franchise_cpu_full_simulation_core)
      184    0.096    0.001    7.027    0.038 /Users/jamesdavies/gob-simplified/BackEnd/models/turn_manager.py:1428(run_micro_turn)
        4    0.004    0.001    6.871    1.718 /Users/jamesdavies/gob-simplified/BackEnd/main.py:359(simulate_quarter)
      108    0.001    0.000    2.819    0.026 /Users/jamesdavies/gob-simplified/BackEnd/models/turn_manager.py:3919(resolve_half_court_offense)
      108    0.008    0.000    2.787    0.026 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:7250(resolve_half_court_offense_logic)
      119    0.002    0.000    2.293    0.019 /Users/jamesdavies/gob-simplified/BackEnd/models/turn_manager.py:3567(calculate_ev)
      148    0.000    0.000    2.133    0.014 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/cursor.py:1260(next)
       63    0.001    0.000    2.132    0.034 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/cursor.py:1144(_refresh)
       51    0.001    0.000    2.131    0.042 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/cursor.py:1045(__send_message)
   102/51    0.019    0.000    2.129    0.042 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/_csot.py:100(csot_wrapper)
       51    0.000    0.000    2.128    0.042 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/mongo_client.py:1352(_run_operation)
       51    0.000    0.000    2.128    0.042 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/mongo_client.py:1464(_retryable_read)
       51    0.000    0.000    2.085    0.041 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/mongo_client.py:1428(_retry_internal)
       51    0.000    0.000    2.084    0.041 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/mongo_client.py:2295(run)
       51    0.000    0.000    2.060    0.040 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/mongo_client.py:2431(_read)
       51    0.000    0.000    2.019    0.040 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/mongo_client.py:1383(_cmd)
       51    0.001    0.000    2.017    0.040 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/server.py:97(run_operation)
      203    0.003    0.000    2.002    0.010 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:5618(_stamp_contest_defender_grid)
      203    0.002    0.000    1.995    0.010 /Users/jamesdavies/gob-simplified/BackEnd/models/animator.py:1483(compute_defender_grid)
    57/53    0.001    0.000    1.967    0.037 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/network.py:244(receive_message)
  114/106    0.002    0.000    1.965    0.019 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/network.py:328(_receive_data_on_socket)
  219/211    0.033    0.000    1.943    0.009 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/ssl.py:1289(recv_into)
      203    0.026    0.000    1.786    0.009 /Users/jamesdavies/gob-simplified/BackEnd/models/animator.py:1273(_build_all_animations)
  219/211    0.015    0.000    1.763    0.008 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/ssl.py:1129(read)
      127    0.012    0.000    1.684    0.013 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:6169(_resolve_hco_offense_shot_dynamic)
       39    0.000    0.000    1.657    0.042 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/collection.py:1475(find_one)
  219/211    1.618    0.007    1.618    0.008 {method 'read' of '_ssl._SSLSocket' objects}
       73    0.061    0.001    1.580    0.022 /Users/jamesdavies/gob-simplified/BackEnd/models/animator.py:1835(_position_zone_defenders)
     4542    0.092    0.000    1.390    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:1043(assign_all_zone_defenders)
      5/2    0.000    0.000    1.274    0.637 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/monitor.py:57(target)
        2    0.000    0.000    1.274    0.637 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/monitor.py:187(_run)
    57/25    0.023    0.000    1.072    0.043 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/helpers.py:316(inner)
    51/24    0.000    0.000    1.031    0.043 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/pool.py:1014(receive_message)
1089006/323    0.604    0.000    1.007    0.003 /Users/jamesdavies/gob-simplified/BackEnd/models/turn_manager.py:1442(convert_players)
   267613    0.079    0.000    1.000    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:530(_point_in_zone)
777978/14155    0.436    0.000    0.952    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/copy.py:119(deepcopy)
135322/14035    0.162    0.000    0.933    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/copy.py:218(_deepcopy_dict)
   267613    0.643    0.000    0.901    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:390(_point_in_polygon)
      373    0.001    0.000    0.772    0.002 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:9750(get_hco_skeleton)
       90    0.001    0.000    0.607    0.007 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:5656(_hco_contest_final_skeleton)
      373    0.002    0.000    0.576    0.002 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:9867(_get_skeleton_from_team_plays)
        2    0.000    0.000    0.539    0.270 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/monitor.py:224(_check_server)
  4597448    0.472    0.000    0.472    0.000 {method 'get' of 'dict' objects}
     4542    0.035    0.000    0.459    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:850(_detect_overlapping_zones)
13003/5425    0.007    0.000    0.436    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/copy.py:192(_deepcopy_list)
    10294    0.059    0.000    0.423    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:884(_resolve_overlap_assignments)
        2    0.000    0.000    0.409    0.204 /Users/jamesdavies/gob-simplified/BackEnd/models/team_manager.py:402(_load_roster)
