=== BY CUMULATIVE TIME (top 80) ===
         24237760 function calls (22111934 primitive calls) in 7.169 seconds

   Ordered by: cumulative time
   List reduced from 1927 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      2/1    0.000    0.000    7.083    7.083 /Users/jamesdavies/gob-simplified/scripts/perf_sim_baseline.py:181(run_cpu_game)
 3185/206    0.009    0.000    6.845    0.033 /Users/jamesdavies/gob-simplified/BackEnd/utils/sim_profiler.py:105(wrapper)
      2/1    0.000    0.000    6.830    6.830 /Users/jamesdavies/gob-simplified/BackEnd/api/franchise_routes.py:4229(_run_franchise_cpu_full_simulation_core)
        4    0.004    0.001    6.198    1.549 /Users/jamesdavies/gob-simplified/BackEnd/main.py:359(simulate_quarter)
      191    0.004    0.000    6.188    0.032 /Users/jamesdavies/gob-simplified/BackEnd/models/game_manager.py:1408(simulate_macro_turn)
      191    0.062    0.000    5.943    0.031 /Users/jamesdavies/gob-simplified/BackEnd/models/turn_manager.py:1428(run_micro_turn)
      127    0.001    0.000    3.417    0.027 /Users/jamesdavies/gob-simplified/BackEnd/models/turn_manager.py:3919(resolve_half_court_offense)
      127    0.008    0.000    3.391    0.027 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:7470(resolve_half_court_offense_logic)
      366    0.002    0.000    2.471    0.007 /Users/jamesdavies/gob-simplified/BackEnd/models/animator.py:1483(compute_defender_grid)
      141    0.013    0.000    2.270    0.016 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:6318(_resolve_hco_offense_shot_dynamic)
      202    0.002    0.000    2.234    0.011 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:5767(_stamp_contest_defender_grid)
      366    0.034    0.000    2.189    0.006 /Users/jamesdavies/gob-simplified/BackEnd/models/animator.py:1273(_build_all_animations)
      207    0.116    0.001    1.986    0.010 /Users/jamesdavies/gob-simplified/BackEnd/models/animator.py:1835(_position_zone_defenders)
   126/56    0.001    0.000    1.742    0.031 /Users/jamesdavies/gob-simplified/BackEnd/utils/sim_profiler.py:134(wrapper)
      110    0.000    0.000    1.739    0.016 /Users/jamesdavies/gob-simplified/.venv/lib/python3.13/site-packages/pymongo/cursor.py:1260(next)
       49    0.000    0.000    1.737    0.035 /Users/jamesdavies/gob-simplified/.venv/lib/python3.13/site-packages/pymongo/cursor.py:1144(_refresh)
       42    0.001    0.000    1.736    0.041 /Users/jamesdavies/gob-simplified/.venv/lib/python3.13/site-packages/pymongo/cursor.py:1045(__send_message)
    84/42    0.000    0.000    1.734    0.041 /Users/jamesdavies/gob-simplified/.venv/lib/python3.13/site-packages/pymongo/_csot.py:100(csot_wrapper)
       42    0.000    0.000    1.734    0.041 /Users/jamesdavies/gob-simplified/.venv/lib/python3.13/site-packages/pymongo/mongo_client.py:1352(_run_operation)
       42    0.000    0.000    1.734    0.041 /Users/jamesdavies/gob-simplified/.venv/lib/python3.13/site-packages/pymongo/mongo_client.py:1464(_retryable_read)
       42    0.000    0.000    1.733    0.041 /Users/jamesdavies/gob-simplified/.venv/lib/python3.13/site-packages/pymongo/mongo_client.py:1428(_retry_internal)
       42    0.000    0.000    1.733    0.041 /Users/jamesdavies/gob-simplified/.venv/lib/python3.13/site-packages/pymongo/mongo_client.py:2295(run)
       42    0.000    0.000    1.733    0.041 /Users/jamesdavies/gob-simplified/.venv/lib/python3.13/site-packages/pymongo/mongo_client.py:2431(_read)
       42    0.000    0.000    1.724    0.041 /Users/jamesdavies/gob-simplified/.venv/lib/python3.13/site-packages/pymongo/mongo_client.py:1383(_cmd)
       42    0.000    0.000    1.724    0.041 /Users/jamesdavies/gob-simplified/.venv/lib/python3.13/site-packages/pymongo/helpers.py:316(inner)
       42    0.001    0.000    1.723    0.041 /Users/jamesdavies/gob-simplified/.venv/lib/python3.13/site-packages/pymongo/server.py:97(run_operation)
       42    0.000    0.000    1.696    0.040 /Users/jamesdavies/gob-simplified/.venv/lib/python3.13/site-packages/pymongo/pool.py:1014(receive_message)
       42    0.001    0.000    1.695    0.040 /Users/jamesdavies/gob-simplified/.venv/lib/python3.13/site-packages/pymongo/network.py:244(receive_message)
       84    0.003    0.000    1.692    0.020 /Users/jamesdavies/gob-simplified/.venv/lib/python3.13/site-packages/pymongo/network.py:328(_receive_data_on_socket)
