=== BY CUMULATIVE TIME (top 80) ===
         38075122 function calls (34866011 primitive calls) in 10.394 seconds

   Ordered by: cumulative time
   List reduced from 1984 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      9/6    0.000    0.000   20.268    3.378 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/monitor.py:57(target)
        6    0.000    0.000   20.227    3.371 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/monitor.py:187(_run)
        6    0.000    0.000   10.246    1.708 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/monitor.py:224(_check_server)
 2886/200    0.010    0.000    9.774    0.049 /Users/jamesdavies/gob-simplified/BackEnd/utils/sim_profiler.py:105(wrapper)
      185    0.004    0.000    8.715    0.047 /Users/jamesdavies/gob-simplified/BackEnd/models/game_manager.py:1384(simulate_macro_turn)
        4    0.004    0.001    8.670    2.168 /Users/jamesdavies/gob-simplified/BackEnd/main.py:359(simulate_quarter)
      185    0.062    0.000    8.405    0.045 /Users/jamesdavies/gob-simplified/BackEnd/models/turn_manager.py:1428(run_micro_turn)
      105    0.001    0.000    5.755    0.055 /Users/jamesdavies/gob-simplified/BackEnd/models/turn_manager.py:3919(resolve_half_court_offense)
      298    0.003    0.000    4.998    0.017 /Users/jamesdavies/gob-simplified/BackEnd/models/animator.py:1483(compute_defender_grid)
      298    0.038    0.000    4.594    0.015 /Users/jamesdavies/gob-simplified/BackEnd/models/animator.py:1273(_build_all_animations)
      105    0.008    0.000    4.334    0.041 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:7250(resolve_half_court_offense_logic)
      185    0.169    0.001    4.280    0.023 /Users/jamesdavies/gob-simplified/BackEnd/models/animator.py:1835(_position_zone_defenders)
    11600    0.266    0.000    3.687    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:1043(assign_all_zone_defenders)
      193    0.002    0.000    3.557    0.018 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:5618(_stamp_contest_defender_grid)
      122    0.011    0.000    2.893    0.024 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:6169(_resolve_hco_offense_shot_dynamic)
   679389    0.208    0.000    2.621    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:530(_point_in_zone)
   679389    1.773    0.000    2.365    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:390(_point_in_polygon)
