kind,matchup,seed,side,team,team_id,final_score,possessions,FGM,FGA,FG_pct,TPM,TPA,TP_pct,FTM,FTA,FT_pct,TO,OREB,DREB,REB,AST,STL,BLK,PF
cpu_full,Morristown @ Little York,,home,Little York,LITTLE_YORK,89,64.48,32,60,53.33,12,29,41.38,13,17,76.47,7,10,23,33,21,4,4,17
cpu_full,Morristown @ Little York,,away,Morristown,MORRISTOWN,61,61.16,23,55,41.82,7,21,33.33,8,14,57.14,8,8,16,24,16,3,1,23
cpu_full,Ocean City @ Xavien,,home,Xavien,XAVIEN,81,73.12,31,67,46.27,3,19,15.79,16,23,69.57,17,21,23,44,13,7,2,16
cpu_full,Ocean City @ Xavien,,away,Ocean City,OCEAN_CITY,70,75.48,23,57,40.35,12,33,36.36,12,17,70.59,14,3,14,17,17,9,0,21
cpu_full,Four Corners @ South Lancaster,,home,South Lancaster,SOUTH_LANCASTER,80,64.16,29,60,48.33,9,22,40.91,13,14,92.86,13,15,14,29,20,4,1,20
cpu_full,Four Corners @ South Lancaster,,away,Four Corners,FOUR_CORNERS,84,69.36,30,56,53.57,9,19,47.37,15,19,78.95,13,8,13,21,24,7,4,11
practice_squad,Region A All-Americans @ Region D All-Americans,,home,Region D All-Americans,ps_D_1,106,88.72,32,77,41.56,9,36,25.0,33,38,86.84,7,12,25,37,15,10,5,26
practice_squad,Region A All-Americans @ Region D All-Americans,,away,Region A All-Americans,ps_A_1,103,85.88,34,63,53.97,16,29,55.17,19,27,70.37,14,3,26,29,26,6,1,29
practice_squad,Region E All-Americans @ Region C All-Americans,,home,Region C All-Americans,ps_C_1,67,69.28,24,50,48.0,10,24,41.67,9,12,75.0,17,3,15,18,16,5,0,24
practice_squad,Region E All-Americans @ Region C All-Americans,,away,Region E All-Americans,ps_E_1,81,77.4,27,69,39.13,5,27,18.52,22,35,62.86,11,18,22,40,11,10,2,14
practice_squad,Region F All-Americans @ Region B All-Americans,,home,Region B All-Americans,ps_B_1,93,89.2,25,68,36.76,4,17,23.53,39,55,70.91,9,12,28,40,16,9,3,23
practice_squad,Region F All-Americans @ Region B All-Americans,,away,Region F All-Americans,ps_F_1,73,85.88,23,61,37.7,9,24,37.5,18,27,66.67,16,3,29,32,19,6,2,40
