kind,matchup,seed,side,team,team_id,final_score,possessions,FGM,FGA,FG_pct,TPM,TPA,TP_pct,FTM,FTA,FT_pct,TO,OREB,DREB,REB,AST,STL,BLK,PF
cpu_full,Xavien @ Ocean City,,home,Ocean City,OCEAN_CITY,116,85.56,39,74,52.7,20,35,57.14,20,24,83.33,11,10,21,31,27,7,0,18
cpu_full,Xavien @ Ocean City,,away,Xavien,XAVIEN,98,71.28,35,64,54.69,16,26,61.54,10,12,83.33,10,8,19,27,26,9,0,27
cpu_full,Little York @ Four Corners,,home,Four Corners,FOUR_CORNERS,101,68.72,40,70,57.14,15,35,42.86,10,13,76.92,7,14,18,32,22,8,0,11
cpu_full,Little York @ Four Corners,,away,Little York,LITTLE_YORK,87,67.96,31,52,59.62,16,28,57.14,5,9,55.56,14,2,16,18,24,5,0,20
cpu_full,Bentley-Truman @ Lancaster,,home,Lancaster,LANCASTER,69,65.2,28,58,48.28,9,21,42.86,4,5,80.0,12,7,27,34,21,5,0,14
cpu_full,Bentley-Truman @ Lancaster,,away,Bentley-Truman,BENTLEY_TRUMAN,78,65.16,29,55,52.73,11,27,40.74,9,14,64.29,7,3,21,24,22,7,2,12
cpu_full,Morristown @ South Lancaster,,home,South Lancaster,SOUTH_LANCASTER,89,59.4,34,58,58.62,15,31,48.39,6,10,60.0,5,8,16,24,26,9,0,7
cpu_full,Morristown @ South Lancaster,,away,Morristown,MORRISTOWN,82,65.64,30,63,47.62,17,29,58.62,5,6,83.33,11,11,23,34,26,4,1,19
cpu_full,Casino Row @ IDA,,home,IDA,IDA,88,71.16,33,56,58.93,18,32,56.25,6,14,42.86,13,4,19,23,27,10,1,12
cpu_full,Casino Row @ IDA,,away,Casino Row,CASINO_ROW,66,64.2,26,65,40.0,10,23,43.48,2,5,40.0,18,21,17,38,21,9,0,21
cpu_full,Chapel Hill @ Durham,,home,Durham,DURHAM,97,67.08,38,58,65.52,14,27,51.85,5,7,71.43,9,3,13,16,31,7,0,18
cpu_full,Chapel Hill @ Durham,,away,Chapel Hill,CHAPEL_HILL,108,66.96,40,56,71.43,24,36,66.67,6,9,66.67,12,5,16,21,29,6,1,17
cpu_full,Nickel Beach @ Appalachia,,home,Appalachia,APPALACHIA,64,63.08,23,55,41.82,8,27,29.63,5,7,71.43,9,4,16,20,16,5,0,27
cpu_full,Nickel Beach @ Appalachia,,away,Nickel Beach,NICKEL_BEACH,106,78.2,37,66,56.06,20,31,64.52,17,30,56.67,11,12,29,41,30,6,0,9
cpu_full,Cagers World @ Crickstown,,home,Crickstown,CRICKSTOWN,83,73.36,27,63,42.86,16,35,45.71,11,19,57.89,10,8,19,27,20,6,0,11
cpu_full,Cagers World @ Crickstown,,away,Cagers World,CAGERS_WORLD,98,71.84,35,63,55.56,20,33,60.61,10,11,90.91,10,6,21,27,25,8,0,15
cpu_full,Ivy Prep @ Concord,,home,Concord,CONCORD,83,73.16,30,65,46.15,11,30,36.67,10,14,71.43,9,7,24,31,19,7,0,12
cpu_full,Ivy Prep @ Concord,,away,Ivy Prep,IVY_PREP,80,68.96,32,74,43.24,13,35,37.14,5,9,55.56,12,21,25,46,26,5,1,14
cpu_full,Providence @ Independence,,home,Independence,INDEPENDENCE,48,63.08,21,53,39.62,6,29,20.69,0,7,0.0,9,2,16,18,21,5,0,19
cpu_full,Providence @ Independence,,away,Providence,PROVIDENCE,96,71.36,35,62,56.45,16,30,53.33,10,19,52.63,10,9,31,40,27,6,0,10
cpu_full,D1 Institute @ Queen's Guard,,home,Queen's Guard,queens_guard,78,61.52,27,53,50.94,19,37,51.35,7,8,87.5,9,4,15,19,19,4,0,8
cpu_full,D1 Institute @ Queen's Guard,,away,D1 Institute,D1_INSTITUTE,76,57.64,28,50,56.0,13,24,54.17,5,6,83.33,10,5,21,26,23,2,0,8
cpu_full,Garden Elites @ Montpeiler,,home,Montpeiler,MONTPEILER,80,71.4,33,59,55.93,10,23,43.48,4,10,40.0,12,4,20,24,22,9,0,22
cpu_full,Garden Elites @ Montpeiler,,away,Garden Elites,GARDEN_ELITES,104,73.56,34,61,55.74,17,31,54.84,19,24,79.17,12,10,24,34,28,11,1,13
cpu_full,Long Island Methodist @ Falls Academy,,home,Falls Academy,FALLS_ACADEMY,103,78.84,39,73,53.42,17,37,45.95,8,11,72.73,13,12,28,40,30,7,0,14
cpu_full,Long Island Methodist @ Falls Academy,,away,Long Island Methodist,LONG_ISLAND_METHODIST,79,78.84,32,61,52.46,9,25,36.0,6,11,54.55,15,2,21,23,23,8,0,11
cpu_full,Upstate @ Toronto Limited,,home,Toronto Limited,TORONTO_LIMITED,85,65.16,32,62,51.61,17,33,51.52,9,14,64.29,10,13,23,36,22,7,0,4
cpu_full,Upstate @ Toronto Limited,,away,Upstate,UPSTATE,69,55.0,25,50,50.0,14,32,43.75,0,0,0.0,8,3,13,16,22,6,0,14
cpu_full,Syracuse @ St Peters,,home,St Peters,ST_PETERS,93,62.96,34,55,61.82,17,27,62.96,8,9,88.89,10,6,21,27,22,2,0,9
cpu_full,Syracuse @ St Peters,,away,Syracuse,SYRACUSE,94,62.2,34,59,57.63,24,38,63.16,2,5,40.0,4,3,13,16,29,5,0,15
cpu_full,Amariabi International @ Empire City,,home,Empire City,EMPIRE_CITY,93,74.84,35,62,56.45,16,32,50.0,7,11,63.64,15,7,22,29,26,4,0,11
cpu_full,Amariabi International @ Empire City,,away,Amariabi International,AMARIABI_INTERNATIONAL,96,71.64,39,63,61.9,15,28,53.57,3,6,50.0,7,1,20,21,28,12,0,11
cpu_full,Hardwood Fields @ Ann Arbor,,home,Ann Arbor,ANN_ARBOR,91,60.76,38,53,71.7,13,21,61.9,2,4,50.0,14,8,22,30,27,4,1,9
cpu_full,Hardwood Fields @ Ann Arbor,,away,Hardwood Fields,HARDWOOD_FIELDS,72,60.76,30,55,54.55,11,28,39.29,1,4,25.0,7,3,7,10,25,7,0,10
cpu_full,North Columbus @ Columbus,,home,Columbus,COLUMBUS,65,79.4,25,61,40.98,11,29,37.93,4,10,40.0,22,8,21,29,22,13,0,8
cpu_full,North Columbus @ Columbus,,away,North Columbus,NORTH_COLUMBUS,88,75.88,34,65,52.31,19,36,52.78,1,2,50.0,19,9,27,36,27,9,0,12
cpu_full,Harding Central @ Mynsk,,home,Mynsk,MYNSK,71,62.76,26,56,46.43,11,32,34.38,2,4,50.0,11,6,13,19,21,8,0,19
cpu_full,Harding Central @ Mynsk,,away,Harding Central,HARDING_CENTRAL,91,75.24,37,74,50.0,14,30,46.67,9,21,42.86,11,19,25,44,24,6,0,3
cpu_full,Upper Peninsula @ Cleveland-Carlysle,,home,Cleveland-Carlysle,CLEVELAND_CARLYSLE,79,60.4,28,52,53.85,19,34,55.88,6,10,60.0,10,6,24,30,21,5,0,12
cpu_full,Upper Peninsula @ Cleveland-Carlysle,,away,Upper Peninsula,UPPER_PENINSULA,69,60.2,27,55,49.09,12,27,44.44,1,5,20.0,8,5,20,25,20,6,0,15
cpu_full,Templeton-Wesley @ Burroughs,,home,Burroughs,BURROUGHS,71,68.96,28,64,43.75,9,33,27.27,6,9,66.67,7,6,17,23,20,9,0,13
cpu_full,Templeton-Wesley @ Burroughs,,away,Templeton-Wesley,TEMPLETON_WESLEY,90,66.08,34,57,59.65,16,27,59.26,6,7,85.71,10,4,26,30,25,4,0,9
