kind,matchup,seed,side,team,team_id,final_score,possessions,FGM,FGA,FG_pct,TPM,TPA,TP_pct,FTM,FTA,FT_pct,TO,OREB,DREB,REB,AST,STL,BLK,PF
cpu_full,Xavien @ Ocean City,,home,Ocean City,OCEAN_CITY,73,59.48,24,56,42.86,16,31,51.61,11,17,64.71,2,6,17,23,20,4,0,18
cpu_full,Xavien @ Ocean City,,away,Xavien,XAVIEN,58,48.84,21,44,47.73,6,16,37.5,8,11,72.73,8,8,22,30,17,1,0,13
cpu_full,Little York @ Four Corners,,home,Four Corners,FOUR_CORNERS,104,71.64,32,64,50.0,18,35,51.43,20,31,64.52,5,11,19,30,26,10,1,13
cpu_full,Little York @ Four Corners,,away,Little York,LITTLE_YORK,84,63.28,30,49,61.22,18,26,69.23,8,12,66.67,10,1,23,24,25,3,2,30
cpu_full,Bentley-Truman @ Lancaster,,home,Lancaster,LANCASTER,90,67.64,35,59,59.32,14,29,48.28,6,6,100.0,9,3,16,19,29,8,1,20
cpu_full,Bentley-Truman @ Lancaster,,away,Bentley-Truman,BENTLEY_TRUMAN,115,73.48,41,62,66.13,22,27,81.48,11,17,64.71,9,5,19,24,36,8,1,7
cpu_full,Morristown @ South Lancaster,,home,South Lancaster,SOUTH_LANCASTER,81,63.2,33,57,57.89,11,25,44.0,4,5,80.0,8,4,8,12,28,4,0,15
cpu_full,Morristown @ South Lancaster,,away,Morristown,MORRISTOWN,111,64.48,38,60,63.33,19,29,65.52,16,17,94.12,7,10,19,29,27,7,0,9
cpu_full,Casino Row @ IDA,,home,IDA,IDA,87,78.8,29,48,60.42,14,22,63.64,15,20,75.0,24,2,20,22,23,14,1,16
cpu_full,Casino Row @ IDA,,away,Casino Row,CASINO_ROW,82,76.64,34,62,54.84,13,27,48.15,1,6,16.67,20,8,19,27,28,19,0,24
cpu_full,Chapel Hill @ Durham,,home,Durham,DURHAM,84,61.64,35,51,68.63,8,19,42.11,6,6,100.0,12,4,19,23,27,6,0,12
cpu_full,Chapel Hill @ Durham,,away,Chapel Hill,CHAPEL_HILL,83,57.76,32,63,50.79,19,30,63.33,0,4,0.0,8,15,9,24,25,9,0,12
cpu_full,Nickel Beach @ Appalachia,,home,Appalachia,APPALACHIA,72,66.2,29,56,51.79,11,31,35.48,3,5,60.0,11,3,13,16,23,3,0,33
cpu_full,Nickel Beach @ Appalachia,,away,Nickel Beach,NICKEL_BEACH,123,71.32,43,64,67.19,22,31,70.97,15,28,53.57,5,10,26,36,31,6,0,7
cpu_full,Cagers World @ Crickstown,,home,Crickstown,CRICKSTOWN,81,68.72,30,59,50.85,11,28,39.29,8,13,61.54,11,7,25,32,26,4,0,14
cpu_full,Cagers World @ Crickstown,,away,Cagers World,CAGERS_WORLD,70,72.28,27,66,40.91,13,29,44.83,5,12,41.67,12,11,25,36,21,5,0,16
cpu_full,Ivy Prep @ Concord,,home,Concord,CONCORD,81,77.6,28,62,45.16,14,32,43.75,13,15,86.67,15,6,26,32,18,15,0,6
cpu_full,Ivy Prep @ Concord,,away,Ivy Prep,IVY_PREP,63,69.76,24,65,36.92,9,26,34.62,4,4,100.0,17,14,24,38,21,10,0,15
