kind,matchup,seed,side,team,team_id,final_score,possessions,FGM,FGA,FG_pct,TPM,TPA,TP_pct,FTM,FTA,FT_pct,TO,OREB,DREB,REB,AST,STL,BLK,PF
cpu_full,Xavien @ Ocean City,,home,Ocean City,OCEAN_CITY,102,60.84,35,57,61.4,24,38,63.16,6,11,54.55,5,6,26,32,32,2,0,16
cpu_full,Xavien @ Ocean City,,away,Xavien,XAVIEN,74,71.36,28,61,45.9,8,22,36.36,12,19,63.16,4,2,16,18,20,2,0,12
cpu_full,Little York @ Four Corners,,home,Four Corners,FOUR_CORNERS,108,66.16,42,64,65.62,15,26,57.69,9,14,64.29,6,10,13,23,28,8,0,12
cpu_full,Little York @ Four Corners,,away,Little York,LITTLE_YORK,81,63.08,31,47,65.96,13,23,56.52,6,7,85.71,15,2,13,15,24,3,0,21
cpu_full,Bentley-Truman @ Lancaster,,home,Lancaster,LANCASTER,88,63.76,34,54,62.96,14,23,60.87,2,4,50.0,11,3,21,24,25,9,0,33
cpu_full,Bentley-Truman @ Lancaster,,away,Bentley-Truman,BENTLEY_TRUMAN,97,72.2,33,62,53.23,14,26,53.85,21,30,70.0,9,12,16,28,25,10,0,11
cpu_full,Morristown @ South Lancaster,,home,South Lancaster,SOUTH_LANCASTER,72,55.0,28,51,54.9,16,29,55.17,0,0,0.0,7,3,14,17,23,4,1,13
cpu_full,Morristown @ South Lancaster,,away,Morristown,MORRISTOWN,88,58.4,33,60,55.0,16,25,64.0,6,10,60.0,6,12,19,31,28,5,0,6
cpu_full,Casino Row @ IDA,,home,IDA,IDA,79,64.96,33,63,52.38,9,25,36.0,5,9,55.56,6,8,18,26,26,8,0,16
cpu_full,Casino Row @ IDA,,away,Casino Row,CASINO_ROW,85,63.96,35,70,50.0,13,27,48.15,1,9,11.11,11,21,22,43,17,6,1,14
cpu_full,Chapel Hill @ Durham,,home,Durham,DURHAM,94,72.08,37,57,64.91,14,26,53.85,6,7,85.71,14,2,10,12,29,5,0,5
cpu_full,Chapel Hill @ Durham,,away,Chapel Hill,CHAPEL_HILL,129,71.2,48,62,77.42,30,38,78.95,3,5,60.0,8,1,16,17,39,11,0,9
