kind,matchup,seed,side,team,team_id,final_score,possessions,FGM,FGA,FG_pct,TPM,TPA,TP_pct,FTM,FTA,FT_pct,TO,OREB,DREB,REB,AST,STL,BLK,PF
cpu_full,Xavien @ Ocean City,20260722,home,Ocean City,OCEAN_CITY,80,57.76,31,60,51.67,17,35,48.57,3,4,75.0,3,7,31,38,20,4,0,14
cpu_full,Xavien @ Ocean City,20260722,away,Xavien,XAVIEN,51,59.96,17,54,31.48,12,35,34.29,3,9,33.33,7,5,22,27,16,2,0,15
cpu_full,Little York @ Four Corners,20260723,home,Four Corners,FOUR_CORNERS,86,64.16,33,54,61.11,12,25,48.0,12,14,85.71,7,3,15,18,25,8,1,4
cpu_full,Little York @ Four Corners,20260723,away,Little York,LITTLE_YORK,67,54.0,25,45,55.56,13,25,52.0,0,0,0.0,14,5,16,21,20,5,0,18
cpu_full,Bentley-Truman @ Lancaster,20260724,home,Lancaster,LANCASTER,82,70.08,34,56,60.71,10,16,62.5,6,7,85.71,22,11,22,33,21,9,1,19
cpu_full,Bentley-Truman @ Lancaster,20260724,away,Bentley-Truman,BENTLEY_TRUMAN,86,66.6,31,58,53.45,12,21,57.14,10,15,66.67,9,7,9,16,24,15,1,13
cpu_full,Morristown @ South Lancaster,20260725,home,South Lancaster,SOUTH_LANCASTER,80,60.4,30,56,53.57,13,22,59.09,7,10,70.0,7,7,15,22,25,5,0,21
cpu_full,Morristown @ South Lancaster,20260725,away,Morristown,MORRISTOWN,94,63.72,35,57,61.4,13,21,61.9,11,13,84.62,9,8,18,26,30,4,0,17
cpu_full,Casino Row @ IDA,20260726,home,IDA,IDA,121,110.64,72,102,70.59,19,26,73.08,5,6,83.33,9,3,18,21,21,8,0,6
cpu_full,Casino Row @ IDA,20260726,away,Casino Row,CASINO_ROW,110,49.0,26,49,53.06,11,20,55.0,0,0,0.0,11,11,20,31,22,7,0,16
cpu_full,Chapel Hill @ Durham,20260727,home,Durham,DURHAM,125,80.56,46,65,70.77,14,22,63.64,19,24,79.17,10,5,19,24,32,5,0,5
cpu_full,Chapel Hill @ Durham,20260727,away,Chapel Hill,CHAPEL_HILL,118,70.64,43,61,70.49,27,34,79.41,5,6,83.33,8,1,13,14,31,8,0,21
