kind,matchup,seed,side,team,team_id,final_score,possessions,FGM,FGA,FG_pct,TPM,TPA,TP_pct,FTM,FTA,FT_pct,TO,OREB,DREB,REB,AST,STL,BLK,PF
cpu_full,Xavien @ Ocean City,20260724,home,Ocean City,OCEAN_CITY,95,69.92,33,51,64.71,15,27,55.56,16,18,88.89,11,0,26,26,27,5,0,12
cpu_full,Xavien @ Ocean City,20260724,away,Xavien,XAVIEN,71,65.28,26,62,41.94,11,32,34.38,6,12,50.0,10,12,14,26,19,8,0,18
cpu_full,Little York @ Four Corners,20260725,home,Four Corners,FOUR_CORNERS,95,67.76,40,57,70.18,11,17,64.71,4,4,100.0,13,4,13,17,26,12,0,15
cpu_full,Little York @ Four Corners,20260725,away,Little York,LITTLE_YORK,73,63.28,28,47,59.57,13,20,65.0,4,12,33.33,18,7,10,17,23,9,0,12
cpu_full,Bentley-Truman @ Lancaster,20260726,home,Lancaster,LANCASTER,80,63.6,30,58,51.72,8,21,38.1,12,15,80.0,9,10,18,28,20,4,0,16
cpu_full,Bentley-Truman @ Lancaster,20260726,away,Bentley-Truman,BENTLEY_TRUMAN,94,64.28,38,62,61.29,14,23,60.87,4,12,33.33,6,9,17,26,28,9,1,20
cpu_full,Morristown @ South Lancaster,20260727,home,South Lancaster,SOUTH_LANCASTER,92,57.08,32,50,64.0,21,29,72.41,5,7,71.43,8,4,18,22,26,2,0,25
cpu_full,Morristown @ South Lancaster,20260727,away,Morristown,MORRISTOWN,94,64.48,36,60,60.0,17,27,62.96,7,17,41.18,4,7,17,24,28,4,0,15
cpu_full,Casino Row @ IDA,20260728,home,IDA,IDA,114,78.72,41,70,58.57,26,34,76.47,6,13,46.15,6,3,17,20,32,12,0,13
cpu_full,Casino Row @ IDA,20260728,away,Casino Row,CASINO_ROW,109,72.96,41,62,66.13,20,30,66.67,7,9,77.78,14,7,29,36,34,4,0,23
cpu_full,Chapel Hill @ Durham,20260729,home,Durham,DURHAM,123,74.96,53,73,72.6,16,29,55.17,3,9,33.33,8,10,13,23,37,6,0,9
cpu_full,Chapel Hill @ Durham,20260729,away,Chapel Hill,CHAPEL_HILL,124,76.92,41,66,62.12,27,40,67.5,13,18,72.22,8,5,14,19,38,5,0,17
cpu_full,Nickel Beach @ Appalachia,20260730,home,Appalachia,APPALACHIA,78,60.76,29,45,64.44,13,22,59.09,3,4,75.0,15,1,15,16,24,4,0,26
cpu_full,Nickel Beach @ Appalachia,20260730,away,Nickel Beach,NICKEL_BEACH,109,66.68,39,61,63.93,18,30,60.0,17,22,77.27,5,9,16,25,26,13,0,10
cpu_full,Cagers World @ Crickstown,20260731,home,Crickstown,CRICKSTOWN,84,63.32,30,59,50.85,17,36,47.22,1,3,33.33,9,6,28,34,24,3,0,6
cpu_full,Cagers World @ Crickstown,20260731,away,Cagers World,CAGERS_WORLD,80,71.64,32,72,44.44,18,43,41.86,4,6,66.67,6,9,23,32,24,7,0,9
cpu_full,Ivy Prep @ Concord,20260732,home,Concord,CONCORD,94,75.8,35,66,53.03,12,32,37.5,12,20,60.0,9,8,26,34,23,12,0,11
cpu_full,Ivy Prep @ Concord,20260732,away,Ivy Prep,IVY_PREP,70,67.2,28,61,45.9,11,32,34.38,3,5,60.0,14,10,21,31,19,5,0,18
cpu_full,Providence @ Independence,20260733,home,Independence,INDEPENDENCE,55,66.76,24,56,42.86,6,27,22.22,1,4,25.0,12,3,11,14,20,9,0,10
cpu_full,Providence @ Independence,20260733,away,Providence,PROVIDENCE,85,69.08,35,71,49.3,12,28,42.86,3,7,42.86,14,19,29,48,20,6,0,10
cpu_full,D1 Institute @ Queen's Guard,20260734,home,Queen's Guard,queens_guard,88,62.88,33,54,61.11,18,33,54.55,2,2,100.0,9,1,20,21,31,2,0,18
cpu_full,D1 Institute @ Queen's Guard,20260734,away,D1 Institute,D1_INSTITUTE,90,67.96,37,71,52.11,12,30,40.0,6,9,66.67,7,14,20,34,22,7,0,5
cpu_full,Garden Elites @ Montpeiler,20260735,home,Montpeiler,MONTPEILER,68,66.64,29,59,49.15,7,28,25.0,3,6,50.0,10,5,18,23,23,4,0,11
cpu_full,Garden Elites @ Montpeiler,20260735,away,Garden Elites,GARDEN_ELITES,90,66.4,32,67,47.76,18,36,50.0,8,10,80.0,7,12,26,38,26,6,1,8
cpu_full,Long Island Methodist @ Falls Academy,20260736,home,Falls Academy,FALLS_ACADEMY,108,73.4,43,67,64.18,22,35,62.86,4,10,40.0,8,6,20,26,31,10,0,13
cpu_full,Long Island Methodist @ Falls Academy,20260736,away,Long Island Methodist,LONG_ISLAND_METHODIST,92,71.64,34,56,60.71,15,26,57.69,5,6,83.33,15,2,16,18,28,4,0,7
cpu_full,Upstate @ Toronto Limited,20260737,home,Toronto Limited,TORONTO_LIMITED,88,62.4,34,72,47.22,19,35,54.29,5,10,50.0,7,21,17,38,22,9,1,9
