kind,matchup,seed,side,team,team_id,final_score,possessions,FGM,FGA,FG_pct,TPM,TPA,TP_pct,FTM,FTA,FT_pct,TO,OREB,DREB,REB,AST,STL,BLK,PF
cpu_full,Xavien @ Ocean City,20260721,home,Ocean City,OCEAN_CITY,82,65.28,30,56,53.57,15,27,55.56,8,12,66.67,9,5,29,34,21,5,0,18
cpu_full,Xavien @ Ocean City,20260721,away,Xavien,XAVIEN,58,61.16,18,53,33.96,11,33,33.33,10,14,71.43,8,6,20,26,14,7,0,15
cpu_full,Little York @ Four Corners,20260722,home,Four Corners,FOUR_CORNERS,92,66.8,33,55,60.0,13,25,52.0,17,20,85.0,7,4,20,24,22,6,0,6
cpu_full,Little York @ Four Corners,20260722,away,Little York,LITTLE_YORK,66,56.32,25,49,51.02,12,25,48.0,0,3,0.0,12,6,13,19,23,6,0,24
cpu_full,Bentley-Truman @ Lancaster,20260723,home,Lancaster,LANCASTER,99,73.4,43,62,69.35,15,26,57.69,7,10,70.0,13,6,19,25,26,2,0,14
cpu_full,Bentley-Truman @ Lancaster,20260723,away,Bentley-Truman,BENTLEY_TRUMAN,108,64.28,36,58,62.07,18,28,64.29,9,12,75.0,5,4,13,17,24,7,0,16
cpu_full,Morristown @ South Lancaster,20260724,home,South Lancaster,SOUTH_LANCASTER,67,63.76,26,53,49.06,9,22,40.91,4,4,100.0,15,6,35,41,22,2,1,16
cpu_full,Morristown @ South Lancaster,20260724,away,Morristown,MORRISTOWN,70,70.28,26,68,38.24,13,37,35.14,7,12,58.33,4,7,21,28,21,7,0,8
cpu_full,Casino Row @ IDA,20260725,home,IDA,IDA,91,65.64,34,57,59.65,18,33,54.55,5,6,83.33,12,6,14,20,25,6,0,16
cpu_full,Casino Row @ IDA,20260725,away,Casino Row,CASINO_ROW,95,60.4,35,57,61.4,21,29,72.41,4,10,40.0,11,12,15,27,28,11,0,8
cpu_full,Chapel Hill @ Durham,20260726,home,Durham,DURHAM,118,73.88,46,63,73.02,24,32,75.0,2,2,100.0,13,3,23,26,32,3,0,14
cpu_full,Chapel Hill @ Durham,20260726,away,Chapel Hill,CHAPEL_HILL,119,75.16,40,74,54.05,28,43,65.12,11,14,78.57,4,9,12,21,30,10,2,11
cpu_full,Nickel Beach @ Appalachia,20260727,home,Appalachia,APPALACHIA,97,63.76,35,55,63.64,20,32,62.5,2,4,50.0,10,3,14,17,31,4,0,17
cpu_full,Nickel Beach @ Appalachia,20260727,away,Nickel Beach,NICKEL_BEACH,126,79.24,45,70,64.29,29,41,70.73,12,21,57.14,7,7,18,25,36,5,0,4
cpu_full,Cagers World @ Crickstown,20260728,home,Crickstown,CRICKSTOWN,106,78.8,35,66,53.03,22,41,53.66,14,20,70.0,12,8,18,26,31,8,1,22
cpu_full,Cagers World @ Crickstown,20260728,away,Cagers World,CAGERS_WORLD,112,81.56,37,69,53.62,21,39,53.85,17,24,70.83,13,11,23,34,31,9,1,22
cpu_full,Ivy Prep @ Concord,20260729,home,Concord,CONCORD,71,69.2,26,53,49.06,14,30,46.67,3,5,60.0,18,4,26,30,18,8,0,16
cpu_full,Ivy Prep @ Concord,20260729,away,Ivy Prep,IVY_PREP,73,71.96,31,77,40.26,8,26,30.77,5,9,55.56,9,18,23,41,25,11,0,7
cpu_full,Providence @ Independence,20260730,home,Independence,INDEPENDENCE,78,69.4,29,63,46.03,14,36,38.89,6,10,60.0,6,4,26,30,22,4,1,8
cpu_full,Providence @ Independence,20260730,away,Providence,PROVIDENCE,69,62.2,27,58,46.55,13,31,41.94,2,5,40.0,10,8,29,37,18,4,0,15
cpu_full,D1 Institute @ Queen's Guard,20260731,home,Queen's Guard,queens_guard,109,78.96,41,63,65.08,25,37,67.57,8,9,88.89,15,3,16,19,30,8,0,12
cpu_full,D1 Institute @ Queen's Guard,20260731,away,D1 Institute,D1_INSTITUTE,117,73.96,43,63,68.25,20,34,58.82,5,9,55.56,14,7,15,22,34,7,1,8
cpu_full,Garden Elites @ Montpeiler,20260732,home,Montpeiler,MONTPEILER,73,77.84,24,60,40.0,13,38,34.21,5,11,45.45,21,8,22,30,15,7,0,20
cpu_full,Garden Elites @ Montpeiler,20260732,away,Garden Elites,GARDEN_ELITES,126,83.24,46,80,57.5,31,46,67.39,10,21,47.62,9,15,28,43,36,12,1,13
cpu_full,Long Island Methodist @ Falls Academy,20260733,home,Falls Academy,FALLS_ACADEMY,94,65.76,36,59,61.02,21,36,58.33,4,4,100.0,14,9,18,27,25,8,0,11
cpu_full,Long Island Methodist @ Falls Academy,20260733,away,Long Island Methodist,LONG_ISLAND_METHODIST,72,62.52,27,58,46.55,14,33,42.42,1,8,12.5,13,12,12,24,22,9,0,4
cpu_full,Upstate @ Toronto Limited,20260734,home,Toronto Limited,TORONTO_LIMITED,123,73.92,45,69,65.22,25,33,75.76,10,18,55.56,5,8,26,34,36,7,0,14
cpu_full,Upstate @ Toronto Limited,20260734,away,Upstate,UPSTATE,86,67.08,32,57,56.14,16,30,53.33,4,7,57.14,8,1,15,16,27,4,0,22
cpu_full,Syracuse @ St Peters,20260735,home,St Peters,ST_PETERS,81,69.16,26,50,52.0,14,30,46.67,11,14,78.57,16,3,19,22,23,13,0,9
cpu_full,Syracuse @ St Peters,20260735,away,Syracuse,SYRACUSE,66,71.64,29,54,53.7,9,22,40.91,3,6,50.0,22,7,18,25,21,10,0,14
cpu_full,Amariabi International @ Empire City,20260736,home,Empire City,EMPIRE_CITY,89,78.08,38,68,55.88,11,32,34.38,4,7,57.14,12,5,28,33,26,5,0,22
cpu_full,Amariabi International @ Empire City,20260736,away,Amariabi International,AMARIABI_INTERNATIONAL,95,74.8,34,70,48.57,16,33,48.48,9,20,45.0,8,12,23,35,25,8,0,8
cpu_full,Hardwood Fields @ Ann Arbor,20260737,home,Ann Arbor,ANN_ARBOR,82,70.16,30,58,51.72,14,32,43.75,8,14,57.14,11,5,25,30,24,5,2,6
cpu_full,Hardwood Fields @ Ann Arbor,20260737,away,Hardwood Fields,HARDWOOD_FIELDS,78,67.64,30,59,50.85,15,27,55.56,3,6,50.0,10,4,21,25,22,7,0,17
cpu_full,North Columbus @ Columbus,20260738,home,Columbus,COLUMBUS,67,71.84,29,61,47.54,9,30,30.0,2,11,18.18,11,5,30,35,19,7,0,19
cpu_full,North Columbus @ Columbus,20260738,away,North Columbus,NORTH_COLUMBUS,68,74.36,24,68,35.29,10,28,35.71,8,19,42.11,9,11,28,39,21,6,0,13
cpu_full,Harding Central @ Mynsk,20260739,home,Mynsk,MYNSK,81,67.64,30,56,53.57,14,32,43.75,3,6,50.0,11,2,13,15,26,8,0,18
cpu_full,Harding Central @ Mynsk,20260739,away,Harding Central,HARDING_CENTRAL,106,76.04,38,69,55.07,21,40,52.5,13,16,81.25,10,10,26,36,29,7,2,6
cpu_full,Upper Peninsula @ Cleveland-Carlysle,20260740,home,Cleveland-Carlysle,CLEVELAND_CARLYSLE,112,76.08,44,68,64.71,22,35,62.86,5,7,71.43,12,7,23,30,30,9,0,7
cpu_full,Upper Peninsula @ Cleveland-Carlysle,20260740,away,Upper Peninsula,UPPER_PENINSULA,94,76.2,35,58,60.34,18,30,60.0,3,5,60.0,16,0,17,17,29,7,0,9
cpu_full,Templeton-Wesley @ Burroughs,20260741,home,Burroughs,BURROUGHS,78,70.44,30,56,53.57,15,30,50.0,1,1,100.0,20,6,20,26,26,7,0,18
cpu_full,Templeton-Wesley @ Burroughs,20260741,away,Templeton-Wesley,TEMPLETON_WESLEY,87,75.48,34,67,50.75,12,25,48.0,9,17,52.94,13,12,18,30,23,16,0,7
