kind,matchup,seed,side,team,team_id,final_score,possessions,FGM,FGA,FG_pct,TPM,TPA,TP_pct,FTM,FTA,FT_pct,TO,OREB,DREB,REB,AST,STL,BLK,PF
cpu_full,Xavien @ Ocean City,20260720,home,Ocean City,OCEAN_CITY,78,62.52,30,55,54.55,13,27,48.15,7,8,87.5,9,5,29,34,26,4,1,22
cpu_full,Xavien @ Ocean City,20260720,away,Xavien,XAVIEN,50,65.36,17,54,31.48,5,21,23.81,9,19,47.37,9,6,20,26,12,7,1,13
cpu_full,Little York @ Four Corners,20260721,home,Four Corners,FOUR_CORNERS,125,75.88,43,65,66.15,20,29,68.97,21,27,77.78,5,6,22,28,35,5,0,11
cpu_full,Little York @ Four Corners,20260721,away,Little York,LITTLE_YORK,79,60.52,30,50,60.0,13,30,43.33,4,8,50.0,10,3,10,13,28,3,0,21
cpu_full,Bentley-Truman @ Lancaster,20260722,home,Lancaster,LANCASTER,104,69.84,38,56,67.86,18,26,69.23,10,11,90.91,12,3,22,25,30,5,1,26
cpu_full,Bentley-Truman @ Lancaster,20260722,away,Bentley-Truman,BENTLEY_TRUMAN,113,79.36,41,71,57.75,16,24,66.67,15,19,78.95,8,8,16,24,31,8,0,12
cpu_full,Morristown @ South Lancaster,20260723,home,South Lancaster,SOUTH_LANCASTER,75,65.48,26,48,54.17,9,23,39.13,8,17,47.06,12,2,18,20,22,6,1,15
cpu_full,Morristown @ South Lancaster,20260723,away,Morristown,MORRISTOWN,88,67.52,36,61,59.02,17,28,60.71,5,8,62.5,11,8,19,27,22,7,1,14
cpu_full,Casino Row @ IDA,20260724,home,IDA,IDA,92,67.28,35,49,71.43,15,26,57.69,9,12,75.0,16,3,19,22,26,6,0,10
cpu_full,Casino Row @ IDA,20260724,away,Casino Row,CASINO_ROW,83,61.0,34,61,55.74,13,29,44.83,0,0,0.0,9,9,12,21,26,13,1,20
cpu_full,Chapel Hill @ Durham,20260725,home,Durham,DURHAM,89,71.2,38,63,60.32,11,25,44.0,4,5,80.0,9,3,20,23,29,12,0,13
cpu_full,Chapel Hill @ Durham,20260725,away,Chapel Hill,CHAPEL_HILL,90,70.48,33,54,61.11,16,27,59.26,6,17,35.29,14,5,21,26,29,5,0,15
cpu_full,Nickel Beach @ Appalachia,20260726,home,Appalachia,APPALACHIA,74,68.04,25,53,47.17,10,32,31.25,8,16,50.0,10,2,15,17,24,3,0,25
cpu_full,Nickel Beach @ Appalachia,20260726,away,Nickel Beach,NICKEL_BEACH,121,76.56,41,65,63.08,24,41,58.54,21,24,87.5,5,4,29,33,32,7,0,11
cpu_full,Cagers World @ Crickstown,20260727,home,Crickstown,CRICKSTOWN,77,65.44,30,55,54.55,14,32,43.75,1,1,100.0,11,1,26,27,26,3,0,14
cpu_full,Cagers World @ Crickstown,20260727,away,Cagers World,CAGERS_WORLD,82,70.08,34,72,47.22,13,26,50.0,3,7,42.86,8,13,24,37,28,9,1,8
cpu_full,Ivy Prep @ Concord,20260728,home,Concord,CONCORD,76,68.28,28,55,50.91,11,28,39.29,9,12,75.0,11,3,24,27,17,11,0,17
