kind,matchup,seed,side,team,team_id,final_score,possessions,FGM,FGA,FG_pct,TPM,TPA,TP_pct,FTM,FTA,FT_pct,TO,OREB,DREB,REB,AST,STL,BLK,PF
cpu_full,Xavien @ Ocean City,,home,Ocean City,OCEAN_CITY,87,68.12,26,55,47.27,14,30,46.67,21,23,91.3,7,4,22,26,21,7,1,28
cpu_full,Xavien @ Ocean City,,away,Xavien,XAVIEN,72,69.32,23,62,37.1,9,22,40.91,17,28,60.71,11,16,22,38,16,5,0,23
cpu_full,Little York @ Four Corners,,home,Four Corners,FOUR_CORNERS,105,72.04,32,53,60.38,15,29,51.72,28,41,68.29,7,6,22,28,25,5,3,6
cpu_full,Little York @ Four Corners,,away,Little York,LITTLE_YORK,83,62.08,28,53,52.83,18,32,56.25,7,7,100.0,7,1,15,16,20,6,1,33
cpu_full,Bentley-Truman @ Lancaster,,home,Lancaster,LANCASTER,92,69.88,39,56,69.64,14,24,58.33,2,2,100.0,16,3,15,18,29,11,0,22
cpu_full,Bentley-Truman @ Lancaster,,away,Bentley-Truman,BENTLEY_TRUMAN,98,71.36,34,53,64.15,12,23,52.17,16,19,84.21,15,5,13,18,27,10,1,13
cpu_full,Morristown @ South Lancaster,,home,South Lancaster,SOUTH_LANCASTER,96,67.32,39,55,70.91,15,24,62.5,3,3,100.0,14,3,21,24,34,3,0,15
cpu_full,Morristown @ South Lancaster,,away,Morristown,MORRISTOWN,94,63.4,35,64,54.69,19,29,65.52,5,10,50.0,5,10,9,19,28,8,0,9
cpu_full,Casino Row @ IDA,,home,IDA,IDA,77,60.76,29,44,65.91,16,27,59.26,3,4,75.0,17,2,11,13,23,8,0,16
cpu_full,Casino Row @ IDA,,away,Casino Row,CASINO_ROW,91,63.96,35,55,63.64,13,22,59.09,8,9,88.89,11,6,11,17,25,12,0,7
cpu_full,Chapel Hill @ Durham,,home,Durham,DURHAM,96,67.88,39,60,65.0,17,27,62.96,1,2,50.0,11,4,24,28,31,6,0,15
cpu_full,Chapel Hill @ Durham,,away,Chapel Hill,CHAPEL_HILL,101,69.96,37,68,54.41,23,43,53.49,4,9,44.44,7,9,17,26,29,8,0,8
cpu_full,Nickel Beach @ Appalachia,,home,Appalachia,APPALACHIA,62,64.96,19,54,35.19,12,31,38.71,6,9,66.67,9,2,15,17,18,5,0,24
cpu_full,Nickel Beach @ Appalachia,,away,Nickel Beach,NICKEL_BEACH,109,71.24,38,61,62.3,20,30,66.67,19,21,90.48,7,6,31,37,29,4,0,7
cpu_full,Cagers World @ Crickstown,,home,Crickstown,CRICKSTOWN,86,71.96,30,61,49.18,14,26,53.85,6,9,66.67,9,2,27,29,22,3,0,10
cpu_full,Cagers World @ Crickstown,,away,Cagers World,CAGERS_WORLD,85,72.4,34,71,47.89,19,38,50.0,4,10,40.0,9,12,27,39,24,2,0,12
cpu_full,Ivy Prep @ Concord,,home,Concord,CONCORD,72,67.4,27,58,46.55,11,23,47.83,7,10,70.0,10,5,23,28,17,14,0,7
cpu_full,Ivy Prep @ Concord,,away,Ivy Prep,IVY_PREP,59,67.76,24,56,42.86,9,22,40.91,2,4,50.0,17,7,25,32,21,5,0,14
cpu_full,Providence @ Independence,,home,Independence,INDEPENDENCE,66,70.72,26,58,44.83,6,25,24.0,6,13,46.15,9,2,24,26,21,7,0,22
cpu_full,Providence @ Independence,,away,Providence,PROVIDENCE,75,74.68,27,65,41.54,11,33,33.33,12,22,54.55,14,14,29,43,14,3,0,12
cpu_full,D1 Institute @ Queen's Guard,,home,Queen's Guard,queens_guard,86,68.32,34,54,62.96,19,34,55.88,3,3,100.0,14,1,20,21,24,5,1,10
cpu_full,D1 Institute @ Queen's Guard,,away,D1 Institute,D1_INSTITUTE,87,67.08,35,64,54.69,9,28,32.14,4,7,57.14,8,8,17,25,30,8,0,9
cpu_full,Garden Elites @ Montpeiler,,home,Montpeiler,MONTPEILER,62,59.88,27,52,51.92,7,24,29.17,1,2,50.0,8,1,25,26,20,5,1,18
cpu_full,Garden Elites @ Montpeiler,,away,Garden Elites,GARDEN_ELITES,86,73.84,31,70,44.29,17,36,47.22,7,11,63.64,9,10,25,35,23,4,0,9
cpu_full,Long Island Methodist @ Falls Academy,,home,Falls Academy,FALLS_ACADEMY,101,92.72,38,69,55.07,19,40,47.5,10,13,76.92,27,9,25,34,22,14,0,26
cpu_full,Long Island Methodist @ Falls Academy,,away,Long Island Methodist,LONG_ISLAND_METHODIST,110,85.48,39,63,61.9,20,30,66.67,8,17,47.06,20,5,15,20,30,13,0,16
cpu_full,Upstate @ Toronto Limited,,home,Toronto Limited,TORONTO_LIMITED,90,72.28,31,62,50.0,19,40,47.5,9,12,75.0,9,4,25,29,27,1,1,23
cpu_full,Upstate @ Toronto Limited,,away,Upstate,UPSTATE,96,68.92,34,68,50.0,16,26,61.54,12,18,66.67,3,10,23,33,29,6,1,14
cpu_full,Syracuse @ St Peters,,home,St Peters,ST_PETERS,99,70.6,36,61,59.02,22,37,59.46,11,15,73.33,16,13,20,33,30,6,0,7
cpu_full,Syracuse @ St Peters,,away,Syracuse,SYRACUSE,83,64.52,30,52,57.69,12,29,41.38,5,8,62.5,10,1,11,12,21,11,0,19
cpu_full,Amariabi International @ Empire City,,home,Empire City,EMPIRE_CITY,90,70.72,35,66,53.03,12,28,42.86,10,13,76.92,12,13,23,36,27,10,0,11
cpu_full,Amariabi International @ Empire City,,away,Amariabi International,AMARIABI_INTERNATIONAL,87,71.64,32,58,55.17,17,33,51.52,4,6,66.67,13,2,19,21,22,8,0,16
cpu_full,Hardwood Fields @ Ann Arbor,,home,Ann Arbor,ANN_ARBOR,91,78.68,33,69,47.83,13,33,39.39,12,22,54.55,21,21,18,39,19,12,0,13
cpu_full,Hardwood Fields @ Ann Arbor,,away,Hardwood Fields,HARDWOOD_FIELDS,94,74.28,36,54,66.67,15,25,60.0,7,12,58.33,18,3,19,22,29,15,2,24
cpu_full,North Columbus @ Columbus,,home,Columbus,COLUMBUS,60,66.08,22,64,34.38,11,37,29.73,3,7,42.86,6,7,25,32,20,8,0,11
cpu_full,North Columbus @ Columbus,,away,North Columbus,NORTH_COLUMBUS,67,68.2,25,63,39.68,14,41,34.15,5,5,100.0,13,10,36,46,18,3,0,9
cpu_full,Harding Central @ Mynsk,,home,Mynsk,MYNSK,63,63.64,22,57,38.6,14,38,36.84,3,6,50.0,10,6,21,27,19,3,0,14
cpu_full,Harding Central @ Mynsk,,away,Harding Central,HARDING_CENTRAL,91,70.16,35,72,48.61,15,36,41.67,8,14,57.14,5,13,27,40,24,5,1,6
cpu_full,Upper Peninsula @ Cleveland-Carlysle,,home,Cleveland-Carlysle,CLEVELAND_CARLYSLE,78,59.08,29,49,59.18,16,28,57.14,4,7,57.14,11,4,22,26,22,9,0,18
cpu_full,Upper Peninsula @ Cleveland-Carlysle,,away,Upper Peninsula,UPPER_PENINSULA,54,64.28,21,57,36.84,6,24,25.0,6,12,50.0,14,12,15,27,15,6,0,5
cpu_full,Templeton-Wesley @ Burroughs,,home,Burroughs,BURROUGHS,87,73.08,32,64,50.0,17,35,48.57,4,7,57.14,14,8,22,30,22,9,0,12
cpu_full,Templeton-Wesley @ Burroughs,,away,Templeton-Wesley,TEMPLETON_WESLEY,71,72.2,30,58,51.72,11,26,42.31,2,5,40.0,18,6,22,28,19,10,0,14
cpu_full,Sacred Heart @ Quigley Catholic,,home,Quigley Catholic,QUIGLEY_CATHOLIC,89,76.48,36,75,48.0,14,36,38.89,9,17,52.94,11,17,26,43,22,5,0,15
cpu_full,Sacred Heart @ Quigley Catholic,,away,Sacred Heart,SACRED_HEART,71,64.52,25,53,47.17,13,30,43.33,2,8,25.0,11,3,22,25,23,10,0,17
cpu_full,Wacker West @ Evanston,,home,Evanston,EVANSTON,74,71.76,28,66,42.42,14,40,35.0,2,4,50.0,12,8,28,36,23,6,1,16
cpu_full,Wacker West @ Evanston,,away,Wacker West,WACKER_WEST,79,74.16,31,67,46.27,12,30,40.0,7,14,50.0,9,8,31,39,23,5,2,6
cpu_full,Dillinger @ Archbishop McClellan,,home,Archbishop McClellan,ARCHBISHOP_MCCLELLAN,83,74.08,29,53,54.72,18,35,51.43,3,7,42.86,21,3,19,22,17,8,1,12
cpu_full,Dillinger @ Archbishop McClellan,,away,Dillinger,DILLINGER,80,75.84,34,61,55.74,8,18,44.44,8,11,72.73,17,7,20,27,28,14,0,12
cpu_full,Washington Carver @ Myrtle Private,,home,Myrtle Private,MYRTLE_PRIVATE,76,63.44,31,68,45.59,13,38,34.21,1,1,100.0,7,12,24,36,20,5,0,5
cpu_full,Washington Carver @ Myrtle Private,,away,Washington Carver,WASHINGTON_CARVER,55,63.08,22,52,42.31,8,24,33.33,3,7,42.86,12,4,25,29,16,5,0,10
cpu_full,Biloxi @ Monroe-Hayes,,home,Monroe-Hayes,MONROE_HAYES,102,83.4,39,71,54.93,19,32,59.38,7,10,70.0,16,8,19,27,28,16,0,8
cpu_full,Biloxi @ Monroe-Hayes,,away,Biloxi,BILOXI,79,75.32,29,51,56.86,17,25,68.0,2,3,66.67,26,3,19,22,22,11,0,11
cpu_full,Mobile @ Lexington,,home,Lexington,LEXINGTON,97,69.2,42,67,62.69,11,26,42.31,4,5,80.0,7,7,25,32,32,8,0,14
cpu_full,Mobile @ Lexington,,away,Mobile,MOBILE,87,75.4,28,58,48.28,20,34,58.82,9,10,90.0,15,2,19,21,23,5,0,10
