kind,matchup,seed,side,team,team_id,final_score,possessions,FGM,FGA,FG_pct,TPM,TPA,TP_pct,FTM,FTA,FT_pct,TO,OREB,DREB,REB,AST,STL,BLK,PF
cpu_full,Xavien @ Ocean City,,home,Ocean City,OCEAN_CITY,107,75.0,40,66,60.61,15,31,48.39,20,25,80.0,3,5,21,26,24,5,0,14
cpu_full,Xavien @ Ocean City,,away,Xavien,XAVIEN,80,61.28,26,50,52.0,10,25,40.0,10,12,83.33,8,2,18,20,20,2,0,27
cpu_full,Little York @ Four Corners,,home,Four Corners,FOUR_CORNERS,97,70.16,35,65,53.85,19,34,55.88,10,14,71.43,5,6,20,26,26,8,1,8
cpu_full,Little York @ Four Corners,,away,Little York,LITTLE_YORK,75,68.4,27,50,54.0,13,25,52.0,6,10,60.0,16,2,24,26,23,3,0,16
cpu_full,Bentley-Truman @ Lancaster,,home,Lancaster,LANCASTER,87,61.84,31,58,53.45,16,29,55.17,9,11,81.82,8,9,19,28,24,6,0,22
cpu_full,Bentley-Truman @ Lancaster,,away,Bentley-Truman,BENTLEY_TRUMAN,97,66.28,35,62,56.45,17,25,68.0,10,12,83.33,8,9,18,27,27,7,2,12
cpu_full,Morristown @ South Lancaster,,home,South Lancaster,SOUTH_LANCASTER,95,70.88,40,66,60.61,16,33,48.48,1,2,50.0,8,4,19,23,33,5,0,16
cpu_full,Morristown @ South Lancaster,,away,Morristown,MORRISTOWN,100,69.84,38,71,53.52,14,30,46.67,8,11,72.73,7,13,23,36,30,4,0,7
cpu_full,Casino Row @ IDA,,home,IDA,IDA,92,67.2,33,51,64.71,14,27,51.85,3,5,60.0,14,0,18,18,22,9,0,18
cpu_full,Casino Row @ IDA,,away,Casino Row,CASINO_ROW,97,77.92,40,71,56.34,16,28,57.14,10,18,55.56,13,14,20,34,23,13,0,9
cpu_full,Chapel Hill @ Durham,,home,Durham,DURHAM,109,81.04,43,66,65.15,14,28,50.0,11,16,68.75,12,4,19,23,30,9,1,13
cpu_full,Chapel Hill @ Durham,,away,Chapel Hill,CHAPEL_HILL,107,74.64,41,61,67.21,20,29,68.97,3,6,50.0,12,1,20,21,34,9,0,19
cpu_full,Nickel Beach @ Appalachia,,home,Appalachia,APPALACHIA,58,63.64,22,53,41.51,9,26,34.62,5,6,83.33,11,3,20,23,15,3,0,15
cpu_full,Nickel Beach @ Appalachia,,away,Nickel Beach,NICKEL_BEACH,96,63.2,38,66,57.58,17,34,50.0,3,5,60.0,4,9,27,36,28,9,1,8
