kind,matchup,wall_s,side,team,team_id,final_score,possessions,FGM,FGA,FG_pct,TPM,TPA,TP_pct,FTM,FTA,FT_pct,TO,OREB,DREB,REB,AST,STL,BLK,PF
cpu_full,Little York @ Four Corners,10.2545,home,Four Corners,FOUR_CORNERS,100,65.32,32,50,64.0,16,26,61.54,22,28,78.57,9,6,24,30,22,5,0,12
cpu_full,Little York @ Four Corners,10.2545,away,Little York,LITTLE_YORK,77,62.28,27,53,50.94,14,27,51.85,7,12,58.33,8,4,13,17,24,8,0,28
cpu_full,Bentley-Truman @ Lancaster,10.9943,home,Lancaster,LANCASTER,86,62.52,34,51,66.67,16,24,66.67,4,8,50.0,15,7,17,24,23,3,3,24
cpu_full,Bentley-Truman @ Lancaster,10.9943,away,Bentley-Truman,BENTLEY_TRUMAN,96,61.48,34,56,60.71,13,17,76.47,13,17,76.47,6,8,7,15,27,11,0,12
cpu_full,Xavien @ Ocean City,11.4578,home,Ocean City,OCEAN_CITY,104,63.16,38,56,67.86,22,30,73.33,11,14,78.57,9,8,15,23,23,5,0,19
cpu_full,Xavien @ Ocean City,11.4578,away,Xavien,XAVIEN,73,61.48,25,51,49.02,5,15,33.33,13,17,76.47,13,10,12,22,14,7,0,21
cpu_full,Morristown @ South Lancaster,11.5431,home,South Lancaster,SOUTH_LANCASTER,85,70.52,32,60,53.33,14,28,50.0,7,8,87.5,12,5,23,28,27,3,1,15
cpu_full,Morristown @ South Lancaster,11.5431,away,Morristown,MORRISTOWN,92,70.8,33,67,49.25,11,23,47.83,15,20,75.0,5,10,24,34,25,9,0,19
cpu_full,Chapel Hill @ Durham,10.1868,home,Durham,DURHAM,112,71.6,43,65,66.15,18,28,64.29,14,15,93.33,5,5,14,19,33,6,1,5
cpu_full,Chapel Hill @ Durham,10.1868,away,Chapel Hill,CHAPEL_HILL,113,62.44,38,53,71.7,30,38,78.95,1,1,100.0,10,1,14,15,35,4,0,20
cpu_full,Casino Row @ IDA,11.2073,home,IDA,IDA,93,60.72,35,48,72.92,14,21,66.67,9,13,69.23,12,5,23,28,25,1,0,9
cpu_full,Casino Row @ IDA,11.2073,away,Casino Row,CASINO_ROW,87,61.76,33,63,52.38,19,32,59.38,2,4,50.0,4,7,10,17,29,9,0,22
cpu_full,Nickel Beach @ Appalachia,11.1431,home,Appalachia,APPALACHIA,64,59.76,26,49,53.06,8,28,28.57,2,4,50.0,11,2,23,25,18,3,0,20
cpu_full,Nickel Beach @ Appalachia,11.1431,away,Nickel Beach,NICKEL_BEACH,85,63.72,32,66,48.48,20,39,51.28,3,13,23.08,5,13,21,34,27,9,1,5
cpu_full,Cagers World @ Crickstown,11.4127,home,Crickstown,CRICKSTOWN,69,73.96,27,65,41.54,8,27,29.63,7,9,77.78,12,7,25,32,20,14,0,8
cpu_full,Cagers World @ Crickstown,11.4127,away,Cagers World,CAGERS_WORLD,68,71.96,26,60,43.33,15,33,45.45,1,9,11.11,18,10,29,39,21,2,0,14
cpu_full,Ivy Prep @ Concord,10.8542,home,Concord,CONCORD,57,70.84,23,58,39.66,8,29,27.59,5,11,45.45,10,2,20,22,15,13,1,16
cpu_full,Ivy Prep @ Concord,10.8542,away,Ivy Prep,IVY_PREP,72,69.08,29,55,52.73,6,20,30.0,6,7,85.71,16,5,32,37,24,6,1,14
cpu_full,Providence @ Independence,11.5133,home,Independence,INDEPENDENCE,55,63.2,22,47,46.81,8,21,38.1,3,5,60.0,22,8,22,30,18,10,1,11
cpu_full,Providence @ Independence,11.5133,away,Providence,PROVIDENCE,69,69.2,29,66,43.94,7,28,25.0,4,5,80.0,13,12,17,29,19,16,0,6
cpu_full,D1 Institute @ Queen's Guard,11.0342,home,Queen's Guard,queens_guard,88,61.44,33,48,68.75,19,25,76.0,1,1,100.0,14,1,17,18,27,4,0,14
cpu_full,D1 Institute @ Queen's Guard,11.0342,away,D1 Institute,D1_INSTITUTE,97,68.84,38,73,52.05,17,35,48.57,6,11,54.55,7,16,15,31,25,6,0,3
cpu_full,Garden Elites @ Montpeiler,11.9126,home,Montpeiler,MONTPEILER,67,67.64,27,64,42.19,10,33,30.3,3,6,50.0,7,6,15,21,21,5,1,10
