kind,matchup,wall_s,side,team,team_id,final_score,possessions,FGM,FGA,FG_pct,TPM,TPA,TP_pct,FTM,FTA,FT_pct,TO,OREB,DREB,REB,AST,STL,BLK,PF
cpu_full,Xavien @ Ocean City,4.031,home,Ocean City,OCEAN_CITY,81,59.56,30,52,57.69,10,23,43.48,13,24,54.17,4,7,23,30,18,2,1,16
cpu_full,Xavien @ Ocean City,4.031,away,Xavien,XAVIEN,59,56.96,21,55,38.18,8,23,34.78,7,9,77.78,7,9,17,26,17,2,0,21
cpu_full,Little York @ Four Corners,4.3303,home,Four Corners,FOUR_CORNERS,99,65.04,37,55,67.27,16,28,57.14,11,16,68.75,6,3,10,13,25,11,0,13
cpu_full,Little York @ Four Corners,4.3303,away,Little York,LITTLE_YORK,87,58.2,30,49,61.22,22,32,68.75,3,5,60.0,14,7,13,20,23,4,0,16
cpu_full,Bentley-Truman @ Lancaster,4.8402,home,Lancaster,LANCASTER,96,73.2,40,60,66.67,12,22,54.55,4,5,80.0,16,5,22,27,31,8,0,25
cpu_full,Bentley-Truman @ Lancaster,4.8402,away,Bentley-Truman,BENTLEY_TRUMAN,100,66.24,38,60,63.33,13,24,54.17,11,21,52.38,8,11,13,24,31,12,0,16
cpu_full,Morristown @ South Lancaster,4.7078,home,South Lancaster,SOUTH_LANCASTER,100,63.2,37,50,74.0,23,34,67.65,3,5,60.0,12,1,13,14,33,6,0,15
cpu_full,Morristown @ South Lancaster,4.7078,away,Morristown,MORRISTOWN,108,70.16,41,65,63.08,16,22,72.73,10,14,71.43,8,9,13,22,35,9,0,15
cpu_full,Casino Row @ IDA,4.6084,home,IDA,IDA,94,70.6,34,52,65.38,16,28,57.14,10,15,66.67,15,3,17,20,29,10,0,4
cpu_full,Casino Row @ IDA,4.6084,away,Casino Row,CASINO_ROW,88,66.88,37,58,63.79,14,24,58.33,0,2,0.0,12,4,18,22,29,14,0,23
cpu_full,Chapel Hill @ Durham,4.2133,home,Durham,DURHAM,124,82.76,47,63,74.6,23,34,67.65,2,4,50.0,23,5,26,31,34,8,0,15
cpu_full,Chapel Hill @ Durham,4.2133,away,Chapel Hill,CHAPEL_HILL,122,90.16,44,78,56.41,28,46,60.87,11,14,78.57,12,6,12,18,34,14,0,10
cpu_full,Nickel Beach @ Appalachia,4.7047,home,Appalachia,APPALACHIA,53,71.08,21,64,32.81,8,31,25.81,3,7,42.86,19,15,23,38,14,7,0,25
cpu_full,Nickel Beach @ Appalachia,4.7047,away,Nickel Beach,NICKEL_BEACH,86,69.36,31,64,48.44,14,35,40.0,10,19,52.63,8,11,26,37,23,13,2,9
cpu_full,Cagers World @ Crickstown,4.8564,home,Crickstown,CRICKSTOWN,85,66.76,30,57,52.63,17,35,48.57,4,4,100.0,10,2,20,22,26,5,1,7
cpu_full,Cagers World @ Crickstown,4.8564,away,Cagers World,CAGERS_WORLD,95,67.44,36,61,59.02,26,42,61.9,1,1,100.0,11,5,22,27,29,6,0,9
cpu_full,Ivy Prep @ Concord,4.7302,home,Concord,CONCORD,83,68.72,33,56,58.93,10,24,41.67,9,13,69.23,8,1,28,29,30,4,1,11
cpu_full,Ivy Prep @ Concord,4.7302,away,Ivy Prep,IVY_PREP,75,70.64,32,82,39.02,7,38,18.42,2,6,33.33,8,22,22,44,24,5,2,13
cpu_full,Providence @ Independence,5.6321,home,Independence,INDEPENDENCE,73,72.28,27,59,45.76,12,34,35.29,9,12,75.0,9,1,18,19,20,8,0,15
cpu_full,Providence @ Independence,5.6321,away,Providence,PROVIDENCE,92,66.84,35,65,53.85,18,37,48.65,2,11,18.18,13,16,24,40,21,5,0,10
cpu_full,D1 Institute @ Queen's Guard,4.7804,home,Queen's Guard,queens_guard,78,69.76,32,57,56.14,13,31,41.94,1,4,25.0,12,1,18,19,27,2,0,14
cpu_full,D1 Institute @ Queen's Guard,4.7804,away,D1 Institute,D1_INSTITUTE,99,68.16,38,64,59.38,15,28,53.57,8,14,57.14,7,9,22,31,29,9,0,9
cpu_full,Garden Elites @ Montpeiler,5.1605,home,Montpeiler,MONTPEILER,68,70.84,26,58,44.83,8,33,24.24,6,11,54.55,9,1,11,12,18,8,0,14
cpu_full,Garden Elites @ Montpeiler,5.1605,away,Garden Elites,GARDEN_ELITES,113,74.28,41,65,63.08,24,37,64.86,9,12,75.0,13,9,32,41,30,5,0,9
cpu_full,Long Island Methodist @ Falls Academy,5.0089,home,Falls Academy,FALLS_ACADEMY,110,73.32,42,63,66.67,26,37,70.27,2,3,66.67,13,4,22,26,35,11,1,21
