=== BY CUMULATIVE TIME (top 80) ===
         39572063 function calls (36058624 primitive calls) in 11.211 seconds

   Ordered by: cumulative time
   List reduced from 2302 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      2/1    0.001    0.000   11.133   11.133 /Users/jamesdavies/gob-simplified/scripts/perf_sim_baseline.py:181(run_cpu_game)
        1    0.000    0.000   11.017   11.017 /Users/jamesdavies/gob-simplified/BackEnd/api/franchise_routes.py:3899(_run_franchise_cpu_full_simulation_core)
      193    0.005    0.000   10.428    0.054 /Users/jamesdavies/gob-simplified/BackEnd/models/game_manager.py:1384(simulate_macro_turn)
      193    0.065    0.000   10.165    0.053 /Users/jamesdavies/gob-simplified/BackEnd/models/turn_manager.py:1428(run_micro_turn)
        4    0.004    0.001   10.128    2.532 /Users/jamesdavies/gob-simplified/BackEnd/main.py:359(simulate_quarter)
      121    0.001    0.000    5.865    0.048 /Users/jamesdavies/gob-simplified/BackEnd/models/turn_manager.py:3919(resolve_half_court_offense)
      337    0.003    0.000    4.901    0.015 /Users/jamesdavies/gob-simplified/BackEnd/models/animator.py:1483(compute_defender_grid)
      337    0.037    0.000    4.531    0.013 /Users/jamesdavies/gob-simplified/BackEnd/models/animator.py:1273(_build_all_animations)
      121    0.009    0.000    4.479    0.037 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:7250(resolve_half_court_offense_logic)
      218    0.165    0.001    4.279    0.020 /Users/jamesdavies/gob-simplified/BackEnd/models/animator.py:1835(_position_zone_defenders)
    11605    0.268    0.000    3.672    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:1043(assign_all_zone_defenders)
      216    0.003    0.000    3.550    0.016 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:5618(_stamp_contest_defender_grid)
      140    0.012    0.000    2.935    0.021 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:6169(_resolve_hco_offense_shot_dynamic)
   680558    0.211    0.000    2.633    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:530(_point_in_zone)
       42    0.000    0.000    2.472    0.059 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/collection.py:1475(find_one)
      151    0.001    0.000    2.402    0.016 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/cursor.py:1260(next)
       66    0.001    0.000    2.401    0.036 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/cursor.py:1144(_refresh)
       54    0.001    0.000    2.399    0.044 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/cursor.py:1045(__send_message)
   108/54    0.000    0.000    2.396    0.044 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/_csot.py:100(csot_wrapper)
       54    0.000    0.000    2.396    0.044 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/mongo_client.py:1352(_run_operation)
       54    0.000    0.000    2.396    0.044 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/mongo_client.py:1464(_retryable_read)
   680558    1.770    0.000    2.375    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:390(_point_in_polygon)
       54    0.000    0.000    2.322    0.043 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/mongo_client.py:1428(_retry_internal)
       54    0.000    0.000    2.321    0.043 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/mongo_client.py:2295(run)
       54    0.000    0.000    2.321    0.043 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/mongo_client.py:2431(_read)
       54    0.000    0.000    2.308    0.043 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/mongo_client.py:1383(_cmd)
       54    0.001    0.000    2.307    0.043 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/server.py:97(run_operation)
      125    0.002    0.000    2.288    0.018 /Users/jamesdavies/gob-simplified/BackEnd/models/turn_manager.py:3567(calculate_ev)
    60/56    0.001    0.000    2.230    0.040 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/network.py:244(receive_message)
