id	team	mascot	team_id	primary_color	secondary_color	conference	region	prestige
1	Bentley-Truman	Sterling Knights	BENTLEY_TRUMAN	#4066b2	#ffffff	1	A	630
2	Ocean City	Admirals	OCEAN_CITY	#2a2168	#00a89d	1	A	536
3	Lancaster	Johnnies	LANCASTER	#d24a1b	#000000	1	A	537
4	Four Corners	Harvest	FOUR_CORNERS	#c0976a	#00954b	1	A	504
5	Morristown	Pirates	MORRISTOWN	#ec1d28	#cccccc	1	A	516
6	Xavien	Elm Trees	XAVIEN	#016837	#999999	1	A	413
7	Little York	Minutemen	LITTLE_YORK	#65308e	#f6af38	1	A	525
8	South Lancaster	Bulldogs	SOUTH_LANCASTER	#7c2b24	#e39649	1	A	465
9	Crickstown	Caribou	CRICKSTOWN	#6a1f2b	#f3e6d0	2	A	490
10	Cagers World	Mustangs	CAGERS_WORLD	#5a3a1b	#c5c5c5	2	A	444
11	Nickel Beach	Sea Turtles	NICKEL_BEACH	#008b8f	#2a2a2a	2	A	567
12	Chapel Hill	Sky	CHAPEL_HILL	#87b5e6	#1e2f5b	2	A	659
13	Appalachia	Rams	APPALACHIA	#0f3d2e	#c5a642	2	A	486
14	Casino Row	Blackjacks	CASINO_ROW	#111111	#d4af37	2	A	526
15	IDA	Academy	IDA	#f2f2f2	#1f4fb2	2	A	574
16	Durham	Generals	DURHAM	#1c2a44	#c8a951	2	A	626
17	Montpeiler	Maples	MONTPEILER	#264653	#e76f51	3	B	465
18	Queen's Guard	Sentinels	QUEEN_S_GUARD	#111111	#d4af37	3	B	524
19	Independence	Spartans	INDEPENDENCE	#3b3b3b	#c0976a	3	B	442
20	Concord	Rams	CONCORD	#ec1d28	#cccccc	3	B	469
21	Garden Elites	Legion	GARDEN_ELITES	#0b1f3a	#a9c6e8	3	B	532
22	D1 Institute	Orioles	D1_INSTITUTE	#008b8f	#2a2a2a	3	B	558
23	Providence	Chill	PROVIDENCE	#2a2168	#f2d045	3	B	510
24	Ivy Prep	Regents	IVY_PREP	#ff6f61	#1c1c1e	3	B	460
